id,_id,sensor_ver,msg_ver,sensorID,macAddr,battery,temp,hPa,acc_x,acc_y,acc_z,vector,rssi,time,packetnum,krTime
1,2022-08-01 0:00,N,4,14,60:A4:23:C9:A0:2F,3.1,32.6,1016,19,24,18,41,71,2022-08-01 0:00,79,2022-08-01 9:00
2,2022-08-01 0:01,N,4,11,60:A4:23:C9:A0:9B,3,33.6,1010,7,7,7,14,81,2022-08-01 0:01,80,2022-08-01 9:01
3,2022-08-01 0:02,N,4,15,60:A4:23:C9:A0:3B,3,28.6,1025,17,22,16,38,72,2022-08-01 0:02,79,2022-08-01 9:02
4,2022-08-01 0:02,V,3,001A,60:A4:23:7C:A5:F3,1.1,25.7,1014,4,4,6,10,93,2022-08-01 0:02,73,2022-08-01 9:02
5,2022-08-01 0:02,N,4,12,60:A4:23:C9:A0:4D,3,28.3,1022,31,48,36,77,69,2022-08-01 0:02,80,2022-08-01 9:02
6,2022-08-01 0:02,N,4,16,60:A4:23:D4:5D:A3,3.1,32.4,1006,21,28,24,49,79,2022-08-01 0:02,79,2022-08-01 9:03
7,2022-08-01 0:04,N,4,17,60:A4:23:D4:5D:C7,3.1,30.2,1009,28,42,35,71,73,2022-08-01 0:04,79,2022-08-01 9:04
8,2022-08-01 0:05,V,3,001C,60:A4:23:7F:49:30,1.3,27.6,1014,4,5,5,10,86,2022-08-01 0:05,44,2022-08-01 9:05
9,2022-08-01 0:05,N,4,18,60:A4:23:C9:A0:E3,3.1,33.4,1006,45,71,47,110,71,2022-08-01 0:05,79,2022-08-01 9:05
10,2022-08-01 0:06,N,4,10,60:A4:23:C9:A0:4C,3,30.2,1006,32,41,40,75,78,2022-08-01 0:06,81,2022-08-01 9:06
11,2022-08-01 0:07,N,4,19,60:A4:23:D4:5D:84,3,33.6,1029,65,93,63,150,71,2022-08-01 0:07,79,2022-08-01 9:07
12,2022-08-01 0:08,N,4,13,60:A4:23:C9:A0:3E,3,31.7,1023,33,34,27,63,75,2022-08-01 0:08,80,2022-08-01 9:08
