id,group,stats,carving_num,age,sensorID_id,empyt_days,birthday,cow_num
1,calf farm,Pregnancy,1,209,,,,1
2,second farm,fertilization,0,622,,,,1
3,third farm,Pregnancy,1,206,,,,3
4,second farm,Pregnancy,7,364,,,,3
5,third farm,Pregnancy,1,266,,,,4
6,second farm,fertilization,0,619,,,,4
7,third farm,Pregnancy,1,167,,,,5
8,second farm,fertilization,0,619,,,,5
9,second farm,fertilization,0,615,,,,6
10,calf farm,fertilization,1,240,,,,6
11,second farm,fertilization,1,61,,,,8
12,first farm,Pregnancy ,0,605,,,,9
13,calf farm,Pregnancy,1,139,,,,13
14,calf farm,Pregnancy,1,216,,,,14
15,calf farm,fertilization,1,106,,,,15
16,first farm,fertilization,1,73,,,,18
17,first farm,fertilization,1,126,,,,19
18,first farm,Pregnancy,1,211,,,,23
19,third farm,Pregnancy,1,200,,,,24
20,third farm,Pregnancy,1,177,,,,25
21,third farm,Pregnancy,1,155,,,,26
22,second farm,Pregnancy ,0,909,,,,27
23,second farm,fertilization,0,908,,,,28
24,third farm,fertilization,1,106,,,,29
25,third farm,Pregnancy,1,158,,,,30
26,third farm,fertilization,1,138,,,,34
27,third farm,fertilization,1,83,,,,36
28,second farm,fertilization,1,153,,,,41
29,second farm,Pregnancy ,0,859,,,,44
30,second farm, preparation for pregnancy,1,47,10,,,46
31,third farm,fertilization,1,145,,,,47
32,third farm,recent delivery,1,3,,,,50
33,third farm,recent delivery,1,19,,,,52
34,third farm,recent delivery,1,14,,,,53
35,third farm,recent delivery,1,13,,,,54
36,second farm, preparation for pregnancy,1,36,11,,,56
37,first farm, preparation for pregnancy,1,36,12,,,57
38,first farm,Pregnancy ,0,847,,,,59
39,second farm,Pregnancy ,0,831,,,,66
40,second farm,Pregnancy ,0,813,,,,71
41,second farm,Pregnancy ,0,811,,,,72
42,calf farm,Pregnancy ,0,804,,,,75
43,first farm,Pregnancy ,0,768,,,,83
44,first farm,Pregnancy ,0,729,,,,85
45,second farm,Pregnancy ,0,714,,,,87
46,second farm,Pregnancy ,0,706,,,,92
47,third farm,Pregnancy ,0,702,,,,93
48,second farm,Pregnancy ,0,678,,,,100
49,second farm,Pregnancy ,0,678,,,,101
50,second farm,fertilization,0,652,,,,102
51,first farm,Pregnancy ,0,649,,,,103
52,second farm,fertilization,0,639,,,,107
53,first farm,Pregnancy ,0,639,,,,108
54,second farm,fertilization,0,637,,,,109
55,first farm,Pregnancy ,0,605,,,,110
56,second farm,fertilization,0,626,,,,110
57,first farm, preparation for pregnancy,0,239,,,,112
58,second farm,fertilization,0,604,,,,114
59,second farm,fertilization,0,601,,,,115
60,second farm,fertilization,0,592,,,,119
61,third farm,fertilization,0,592,,,,120
62,calf farm, preparation for pregnancy,0,591,,,,121
63,third farm,fertilization,0,587,,,,123
64,third farm, preparation for pregnancy,0,586,,,,125
65,calf farm, preparation for pregnancy,0,582,,,,126
66,calf farm, preparation for pregnancy,0,565,,,,131
67,second farm, preparation for pregnancy,0,560,,,,132
68,calf farm, preparation for pregnancy,0,558,,,,133
69,second farm,fertilization,0,616,,,,201
70,calf farm,Pregnancy,1,219,,,,205
71,calf farm,Pregnancy ,0,789,,,,262
72,calf farm,Pregnancy ,0,778,,,,271
73,third farm,fertilization,6,109,,,,1051
74,third farm,fertilization,8,186,,,,1054
75,first farm,Pregnancy,7,302,,,,1067
76,first farm,fertilization,9,148,,,,1093
77,third farm,Pregnancy,7,248,,,,1099
78,calf farm,Pregnancy,8,236,,,,1123
79,third farm,Pregnancy,8,168,,,,1141
80,second farm,Pregnancy,8,370,,,,1143
81,second farm,fertilization,8,61,,,,1189
82,first farm,Pregnancy,8,340,,,,1196
83,first farm,Pregnancy,8,278,,,,1504
84,second farm,Pregnancy,7,328,,,,2017
85,third farm,fertilization,8,145,,,,2018
86,third farm,fertilization,8,190,,,,2028
87,third farm,Pregnancy,8,157,,,,2039
88,third farm,Pregnancy,8,252,,,,2053
89,third farm,Pregnancy,7,249,,,,2054
90,second farm,recent delivery,8,8,,,,2055
91,second farm,Pregnancy,7,433,,,,2056
92,second farm, preparation for pregnancy,6,64,,,,3022
93,second farm, preparation for pregnancy,6,87,13,,,3026
94,calf farm,Pregnancy,7,244,,,,3038
95,first farm,fertilization,5,454,,,,3040
96,third farm,fertilization,7,131,,,,3047
97,second farm,Pregnancy,7,353,,,,3061
98,second farm,Pregnancy,6,403,,,,3064
99,first farm,fertilization,6,131,,,,3067
100,third farm,Pregnancy,6,258,,,,3071
101,third farm,Pregnancy,5,193,,,,3072
102,first farm,Pregnancy,7,148,,,,3100
103,calf farm,Pregnancy,7,273,,,,3105
104,first farm, preparation for pregnancy,8,126,14,,,3111
105,second farm,Pregnancy,7,432,,,,3112
106,third farm, preparation for pregnancy,8,44,15,,,3114
107,second farm,recent delivery,7,24,,,,3122
108,second farm,Pregnancy,7,315,,,,3127
109,second farm,fertilization,7,90,,,,3134
110,second farm,Pregnancy,6,355,,,,3141
111,first farm,Pregnancy,7,220,,,,3517
112,third farm,Pregnancy,6,254,,,,3902
113,third farm,Pregnancy,7,235,,,,3906
114,first farm,recent delivery,7,1,,,,4016
115,second farm,recent delivery,7,8,,,,4021
116,third farm,fertilization,7,109,,,,4025
117,third farm,recent delivery,7,29,,,,4026
118,first farm,Pregnancy,6,483,,,,4027
119,second farm,Pregnancy,5,437,,,,4029
120,first farm,Pregnancy,5,316,,,,4031
