개체폐사사유,소개월령구간,소의종류,폐사두수
기타,01개월이하,육우,192
기타,01개월이하,젖소,162
기타,01개월이하,한우,364
기타,02개월,육우,72
기타,02개월,젖소,105
기타,02개월,한우,226
기타,03개월,육우,26
기타,03개월,젖소,30
기타,03개월,한우,143
기타,04개월,육우,14
기타,04개월,젖소,22
기타,04개월,한우,76
기타,05개월,육우,24
기타,05개월,젖소,9
기타,05개월,한우,68
기타,06개월,육우,1
기타,06개월,젖소,13
기타,06개월,한우,57
기타,07개월,육우,4
기타,07개월,젖소,7
기타,07개월,한우,45
기타,08개월,육우,5
기타,08개월,젖소,2
기타,08개월,한우,49
기타,09개월,육우,2
기타,09개월,젖소,6
기타,09개월,한우,53
기타,10개월,육우,2
기타,10개월,젖소,3
기타,10개월,한우,45
기타,11개월,육우,8
기타,11개월,젖소,1
기타,11개월,한우,41
기타,12개월,육우,2
기타,12개월,젖소,3
기타,12개월,한우,31
기타,13개월,육우,1
기타,13개월,젖소,2
기타,13개월,한우,12
기타,14개월,육우,7
기타,14개월,젖소,1
기타,14개월,한우,12
기타,15개월,육우,3
기타,15개월,젖소,1
기타,15개월,한우,11
기타,16개월,육우,1
기타,16개월,젖소,1
기타,16개월,한우,13
기타,17개월,육우,3
기타,17개월,젖소,2
기타,17개월,한우,11
기타,18개월,육우,4
기타,18개월,젖소,1
기타,18개월,한우,9
기타,19개월,육우,4
기타,19개월,젖소,2
기타,19개월,한우,16
기타,20개월,육우,1
기타,20개월,젖소,1
기타,20개월,한우,10
기타,21개월,육우,1
기타,21개월,젖소,3
기타,21개월,한우,24
기타,22개월,육우,1
기타,22개월,젖소,1
기타,22개월,한우,33
기타,23개월,육우,2
기타,23개월,젖소,6
기타,23개월,한우,35
기타,24개월,육우,2
기타,24개월,젖소,4
기타,24개월,한우,20
기타,25개월,육우,3
기타,25개월,젖소,5
기타,25개월,한우,17
기타,26개월,육우,1
기타,26개월,젖소,14
기타,26개월,한우,10
기타,27개월,육우,3
기타,27개월,젖소,4
기타,27개월,한우,11
기타,28개월,육우,1
기타,28개월,젖소,7
기타,28개월,한우,13
기타,29개월,육우,2
기타,29개월,젖소,4
기타,29개월,한우,12
기타,30개월,젖소,5
기타,30개월,한우,10
기타,31개월,육우,1
기타,31개월,젖소,7
기타,31개월,한우,14
기타,32개월,젖소,7
기타,32개월,한우,9
기타,33개월,젖소,6
기타,33개월,한우,13
기타,34개월,육우,3
기타,34개월,젖소,1
기타,34개월,한우,15
기타,35개월,육우,1
기타,35개월,젖소,6
기타,35개월,한우,8
기타,36개월,젖소,1
기타,36개월,한우,11
기타,37개월,육우,1
기타,37개월,젖소,3
기타,37개월,한우,7
기타,38개월,젖소,4
기타,38개월,한우,8
기타,39개월,젖소,3
기타,39개월,한우,4
기타,40개월이상,육우,8
기타,40개월이상,젖소,291
기타,40개월이상,한우,195
법정전염병 살처분,01개월이하,육우,1
법정전염병 살처분,01개월이하,젖소,3
법정전염병 살처분,01개월이하,한우,43
법정전염병 살처분,02개월,육우,1
법정전염병 살처분,02개월,젖소,2
법정전염병 살처분,02개월,한우,42
법정전염병 살처분,03개월,젖소,1
법정전염병 살처분,03개월,한우,39
법정전염병 살처분,04개월,한우,32
법정전염병 살처분,05개월,젖소,1
법정전염병 살처분,05개월,한우,19
법정전염병 살처분,06개월,젖소,1
법정전염병 살처분,06개월,한우,38
법정전염병 살처분,07개월,육우,2
법정전염병 살처분,07개월,한우,16
법정전염병 살처분,08개월,젖소,2
법정전염병 살처분,08개월,한우,11
법정전염병 살처분,09개월,육우,1
법정전염병 살처분,09개월,한우,13
법정전염병 살처분,10개월,젖소,1
법정전염병 살처분,10개월,한우,19
법정전염병 살처분,11개월,한우,14
법정전염병 살처분,12개월,한우,13
법정전염병 살처분,13개월,한우,5
법정전염병 살처분,14개월,한우,7
법정전염병 살처분,15개월,육우,1
법정전염병 살처분,15개월,한우,2
법정전염병 살처분,16개월,육우,1
법정전염병 살처분,16개월,한우,2
법정전염병 살처분,17개월,한우,11
법정전염병 살처분,18개월,한우,7
법정전염병 살처분,19개월,육우,1
법정전염병 살처분,19개월,젖소,1
법정전염병 살처분,19개월,한우,8
법정전염병 살처분,20개월,육우,1
법정전염병 살처분,20개월,한우,10
법정전염병 살처분,21개월,젖소,2
법정전염병 살처분,21개월,한우,11
법정전염병 살처분,22개월,한우,7
법정전염병 살처분,23개월,젖소,2
법정전염병 살처분,23개월,한우,9
법정전염병 살처분,24개월,한우,13
법정전염병 살처분,25개월,젖소,1
법정전염병 살처분,25개월,한우,6
법정전염병 살처분,26개월,한우,3
법정전염병 살처분,27개월,한우,3
법정전염병 살처분,28개월,한우,3
법정전염병 살처분,29개월,한우,6
법정전염병 살처분,30개월,젖소,2
법정전염병 살처분,30개월,한우,11
법정전염병 살처분,31개월,젖소,5
법정전염병 살처분,31개월,한우,3
법정전염병 살처분,32개월,한우,11
법정전염병 살처분,33개월,젖소,1
법정전염병 살처분,33개월,한우,12
법정전염병 살처분,34개월,젖소,1
법정전염병 살처분,34개월,한우,13
법정전염병 살처분,35개월,한우,17
법정전염병 살처분,36개월,젖소,1
법정전염병 살처분,36개월,한우,5
법정전염병 살처분,37개월,젖소,1
법정전염병 살처분,37개월,한우,1
법정전염병 살처분,38개월,한우,2
법정전염병 살처분,39개월,젖소,4
법정전염병 살처분,39개월,한우,4
법정전염병 살처분,40개월이상,젖소,25
법정전염병 살처분,40개월이상,한우,145
사고,01개월이하,육우,37
사고,01개월이하,젖소,18
사고,01개월이하,한우,242
사고,02개월,육우,11
사고,02개월,젖소,8
사고,02개월,한우,251
사고,03개월,육우,10
사고,03개월,젖소,4
사고,03개월,한우,155
사고,04개월,육우,8
사고,04개월,젖소,7
사고,04개월,한우,111
사고,05개월,육우,4
사고,05개월,젖소,2
사고,05개월,한우,73
사고,06개월,육우,1
사고,06개월,젖소,3
사고,06개월,한우,46
사고,07개월,젖소,3
사고,07개월,한우,47
사고,08개월,육우,2
사고,08개월,한우,41
사고,09개월,육우,3
사고,09개월,젖소,1
사고,09개월,한우,58
사고,10개월,육우,1
사고,10개월,젖소,2
사고,10개월,한우,52
사고,11개월,젖소,5
사고,11개월,한우,48
사고,12개월,육우,2
사고,12개월,한우,18
사고,13개월,육우,2
사고,13개월,젖소,1
사고,13개월,한우,19
사고,14개월,육우,1
사고,14개월,젖소,3
사고,14개월,한우,10
사고,15개월,육우,3
사고,15개월,젖소,1
사고,15개월,한우,5
사고,16개월,육우,1
사고,16개월,한우,10
사고,17개월,육우,3
사고,17개월,한우,16
사고,18개월,육우,2
사고,18개월,젖소,2
사고,18개월,한우,16
사고,19개월,육우,3
사고,19개월,젖소,1
사고,19개월,한우,12
사고,20개월,젖소,1
사고,20개월,한우,20
사고,21개월,육우,1
사고,21개월,젖소,1
사고,21개월,한우,23
사고,22개월,육우,3
사고,22개월,젖소,2
사고,22개월,한우,34
사고,23개월,육우,1
사고,23개월,한우,38
사고,24개월,육우,2
사고,24개월,젖소,2
사고,24개월,한우,22
사고,25개월,육우,1
사고,25개월,젖소,5
사고,25개월,한우,15
사고,26개월,육우,1
사고,26개월,한우,14
사고,27개월,육우,2
사고,27개월,한우,12
사고,28개월,젖소,1
사고,28개월,한우,12
사고,29개월,육우,1
사고,29개월,젖소,1
사고,29개월,한우,12
사고,30개월,젖소,5
사고,30개월,한우,23
사고,31개월,육우,2
사고,31개월,젖소,3
사고,31개월,한우,17
사고,32개월,젖소,2
사고,32개월,한우,21
사고,33개월,한우,14
사고,34개월,젖소,3
사고,34개월,한우,26
사고,35개월,젖소,2
사고,35개월,한우,10
사고,36개월,젖소,2
사고,36개월,한우,12
사고,37개월,젖소,1
사고,37개월,한우,6
사고,38개월,한우,4
사고,39개월,육우,2
사고,39개월,젖소,1
사고,39개월,한우,2
사고,40개월이상,젖소,73
사고,40개월이상,한우,234
일반병,01개월이하,육우,620
일반병,01개월이하,젖소,495
일반병,01개월이하,한우,1611
일반병,02개월,육우,419
일반병,02개월,젖소,344
일반병,02개월,한우,1191
일반병,03개월,육우,188
일반병,03개월,젖소,162
일반병,03개월,한우,719
일반병,04개월,육우,117
일반병,04개월,젖소,96
일반병,04개월,한우,546
일반병,05개월,육우,118
일반병,05개월,젖소,56
일반병,05개월,한우,359
일반병,06개월,육우,78
일반병,06개월,젖소,28
일반병,06개월,한우,280
일반병,07개월,육우,63
일반병,07개월,젖소,22
일반병,07개월,한우,259
일반병,08개월,육우,35
일반병,08개월,젖소,21
일반병,08개월,한우,252
일반병,09개월,육우,12
일반병,09개월,젖소,15
일반병,09개월,한우,262
일반병,10개월,육우,9
일반병,10개월,젖소,9
일반병,10개월,한우,231
일반병,11개월,육우,17
일반병,11개월,젖소,12
일반병,11개월,한우,184
일반병,12개월,육우,12
일반병,12개월,젖소,10
일반병,12개월,한우,89
일반병,13개월,육우,12
일반병,13개월,젖소,6
일반병,13개월,한우,57
일반병,14개월,육우,12
일반병,14개월,젖소,12
일반병,14개월,한우,62
일반병,15개월,육우,12
일반병,15개월,젖소,15
일반병,15개월,한우,51
일반병,16개월,육우,16
일반병,16개월,젖소,7
일반병,16개월,한우,41
