소개월령구간,소의종류,소의성별,폐사두수
01개월이하,육우,수소,815
01개월이하,육우,암소,35
01개월이하,젖소,암소,678
01개월이하,한우,수소,1169
01개월이하,한우,암소,1091
02개월,육우,수소,485
02개월,육우,암소,18
02개월,젖소,암소,459
02개월,한우,수소,880
02개월,한우,암소,831
03개월,육우,수소,214
03개월,육우,암소,10
03개월,젖소,암소,197
03개월,한우,수소,603
03개월,한우,암소,453
04개월,육우,수소,130
04개월,육우,암소,9
04개월,젖소,암소,125
04개월,한우,수소,420
04개월,한우,암소,347
05개월,육우,수소,142
05개월,육우,암소,4
05개월,젖소,암소,68
05개월,한우,수소,293
05개월,한우,암소,226
06개월,육우,수소,79
06개월,육우,암소,1
06개월,젖소,암소,45
06개월,한우,수소,236
06개월,한우,암소,185
07개월,육우,수소,64
07개월,육우,암소,5
07개월,젖소,암소,32
07개월,한우,수소,190
07개월,한우,암소,177
08개월,육우,수소,39
08개월,육우,암소,3
08개월,젖소,암소,25
08개월,한우,수소,231
08개월,한우,암소,122
09개월,육우,수소,17
09개월,육우,암소,1
09개월,젖소,암소,22
09개월,한우,수소,249
09개월,한우,암소,137
10개월,육우,수소,12
10개월,젖소,암소,15
10개월,한우,수소,226
10개월,한우,암소,121
11개월,육우,수소,24
11개월,육우,암소,1
11개월,젖소,암소,18
11개월,한우,수소,176
11개월,한우,암소,111
12개월,육우,수소,16
12개월,젖소,암소,13
12개월,한우,수소,97
12개월,한우,암소,54
13개월,육우,수소,13
13개월,육우,암소,2
13개월,젖소,암소,9
13개월,한우,수소,60
13개월,한우,암소,33
14개월,육우,수소,18
14개월,육우,암소,2
14개월,젖소,암소,16
14개월,한우,수소,54
14개월,한우,암소,37
15개월,육우,수소,17
15개월,육우,암소,2
15개월,젖소,암소,17
15개월,한우,수소,42
15개월,한우,암소,27
16개월,육우,수소,16
16개월,육우,암소,3
16개월,젖소,암소,8
16개월,한우,수소,33
16개월,한우,암소,33
17개월,육우,수소,18
17개월,젖소,암소,16
17개월,한우,수소,52
17개월,한우,암소,36
18개월,육우,수소,12
18개월,육우,암소,5
18개월,젖소,암소,15
18개월,한우,수소,56
18개월,한우,암소,32
19개월,육우,수소,18
19개월,젖소,암소,9
19개월,한우,수소,62
19개월,한우,암소,40
20개월,육우,수소,5
20개월,육우,암소,4
20개월,젖소,암소,5
20개월,한우,수소,59
20개월,한우,암소,42
21개월,육우,수소,4
21개월,육우,암소,2
21개월,젖소,암소,11
21개월,한우,수소,80
21개월,한우,암소,74
22개월,육우,수소,7
22개월,육우,암소,1
22개월,젖소,암소,9
22개월,한우,수소,78
22개월,한우,암소,88
23개월,육우,수소,9
23개월,육우,암소,1
23개월,젖소,암소,21
23개월,한우,수소,87
23개월,한우,암소,89
24개월,육우,수소,8
24개월,육우,암소,1
24개월,젖소,암소,23
24개월,한우,수소,62
24개월,한우,암소,65
25개월,육우,수소,5
25개월,육우,암소,3
25개월,젖소,암소,40
25개월,한우,수소,49
25개월,한우,암소,35
26개월,육우,수소,4
26개월,육우,암소,1
26개월,젖소,암소,31
26개월,한우,수소,42
26개월,한우,암소,35
27개월,육우,수소,7
27개월,젖소,암소,26
27개월,한우,수소,34
27개월,한우,암소,19
28개월,육우,수소,1
28개월,젖소,암소,23
28개월,한우,수소,35
28개월,한우,암소,31
29개월,육우,수소,4
29개월,젖소,암소,23
29개월,한우,수소,44
29개월,한우,암소,28
30개월,육우,수소,1
30개월,육우,암소,1
30개월,젖소,암소,38
30개월,한우,수소,51
30개월,한우,암소,35
31개월,육우,수소,2
31개월,육우,암소,2
31개월,젖소,암소,31
31개월,한우,수소,38
31개월,한우,암소,40
32개월,육우,수소,1
32개월,젖소,암소,20
32개월,한우,수소,28
32개월,한우,암소,53
33개월,육우,수소,1
33개월,젖소,암소,21
33개월,한우,수소,25
33개월,한우,암소,57
34개월,육우,수소,3
34개월,젖소,암소,13
34개월,한우,수소,35
34개월,한우,암소,81
35개월,육우,수소,1
35개월,육우,암소,1
35개월,젖소,암소,17
35개월,한우,수소,16
35개월,한우,암소,61
36개월,젖소,암소,14
36개월,한우,수소,11
36개월,한우,암소,41
37개월,육우,수소,2
37개월,젖소,암소,21
37개월,한우,수소,11
37개월,한우,암소,22
38개월,젖소,암소,18
38개월,한우,수소,5
38개월,한우,암소,25
39개월,육우,수소,2
39개월,육우,암소,1
39개월,젖소,암소,23
39개월,한우,수소,11
39개월,한우,암소,18
40개월이상,육우,수소,5
40개월이상,육우,암소,6
40개월이상,젖소,암소,1118
40개월이상,한우,수소,61
40개월이상,한우,암소,1159
