소개월령구간,소의종류,소의성별,폐사년월,폐사두수
01개월이하,육우,수소,202201,428
01개월이하,육우,수소,202202,387
01개월이하,육우,암소,202201,19
01개월이하,육우,암소,202202,16
01개월이하,젖소,암소,202201,370
01개월이하,젖소,암소,202202,308
01개월이하,한우,수소,202201,577
01개월이하,한우,수소,202202,592
01개월이하,한우,암소,202201,534
01개월이하,한우,암소,202202,557
02개월,육우,수소,202201,264
02개월,육우,수소,202202,221
02개월,육우,암소,202201,10
02개월,육우,암소,202202,8
02개월,젖소,암소,202201,249
02개월,젖소,암소,202202,210
02개월,한우,수소,202201,406
02개월,한우,수소,202202,474
02개월,한우,암소,202201,390
02개월,한우,암소,202202,441
03개월,육우,수소,202201,96
03개월,육우,수소,202202,118
03개월,육우,암소,202201,5
03개월,육우,암소,202202,5
03개월,젖소,암소,202201,90
03개월,젖소,암소,202202,107
03개월,한우,수소,202201,290
03개월,한우,수소,202202,313
03개월,한우,암소,202201,200
03개월,한우,암소,202202,253
04개월,육우,수소,202201,68
04개월,육우,수소,202202,62
04개월,육우,암소,202201,5
04개월,육우,암소,202202,4
04개월,젖소,암소,202201,57
04개월,젖소,암소,202202,68
04개월,한우,수소,202201,196
04개월,한우,수소,202202,224
04개월,한우,암소,202201,171
04개월,한우,암소,202202,176
05개월,육우,수소,202201,99
05개월,육우,수소,202202,43
05개월,육우,암소,202201,1
05개월,육우,암소,202202,3
05개월,젖소,암소,202201,33
05개월,젖소,암소,202202,35
05개월,한우,수소,202201,142
05개월,한우,수소,202202,151
05개월,한우,암소,202201,92
05개월,한우,암소,202202,134
06개월,육우,수소,202201,50
06개월,육우,수소,202202,29
06개월,육우,암소,202201,1
06개월,젖소,암소,202201,20
06개월,젖소,암소,202202,25
06개월,한우,수소,202201,113
06개월,한우,수소,202202,123
06개월,한우,암소,202201,86
06개월,한우,암소,202202,99
07개월,육우,수소,202201,44
07개월,육우,수소,202202,20
07개월,육우,암소,202201,2
07개월,육우,암소,202202,3
07개월,젖소,암소,202201,17
07개월,젖소,암소,202202,15
07개월,한우,수소,202201,97
07개월,한우,수소,202202,93
07개월,한우,암소,202201,92
07개월,한우,암소,202202,85
08개월,육우,수소,202201,27
08개월,육우,수소,202202,12
08개월,육우,암소,202201,1
08개월,육우,암소,202202,2
08개월,젖소,암소,202201,6
08개월,젖소,암소,202202,19
08개월,한우,수소,202201,138
08개월,한우,수소,202202,93
08개월,한우,암소,202201,70
08개월,한우,암소,202202,52
09개월,육우,수소,202201,10
09개월,육우,수소,202202,7
09개월,육우,암소,202202,1
09개월,젖소,암소,202201,10
09개월,젖소,암소,202202,12
09개월,한우,수소,202201,127
09개월,한우,수소,202202,122
09개월,한우,암소,202201,78
09개월,한우,암소,202202,59
10개월,육우,수소,202201,6
10개월,육우,수소,202202,6
10개월,젖소,암소,202201,11
10개월,젖소,암소,202202,4
10개월,한우,수소,202201,111
10개월,한우,수소,202202,115
10개월,한우,암소,202201,63
10개월,한우,암소,202202,58
11개월,육우,수소,202201,12
11개월,육우,수소,202202,12
11개월,육우,암소,202201,1
11개월,젖소,암소,202201,6
11개월,젖소,암소,202202,12
11개월,한우,수소,202201,71
11개월,한우,수소,202202,105
11개월,한우,암소,202201,41
11개월,한우,암소,202202,70
12개월,육우,수소,202201,8
12개월,육우,수소,202202,8
12개월,젖소,암소,202201,7
12개월,젖소,암소,202202,6
12개월,한우,수소,202201,45
12개월,한우,수소,202202,52
12개월,한우,암소,202201,25
12개월,한우,암소,202202,29
13개월,육우,수소,202201,7
13개월,육우,수소,202202,6
13개월,육우,암소,202202,2
13개월,젖소,암소,202201,3
13개월,젖소,암소,202202,6
13개월,한우,수소,202201,23
13개월,한우,수소,202202,37
13개월,한우,암소,202201,17
13개월,한우,암소,202202,16
14개월,육우,수소,202201,7
14개월,육우,수소,202202,11
14개월,육우,암소,202201,2
14개월,젖소,암소,202201,4
