농장아이디,개체 구별 번호,산차,교배지수,경과일,교배일,임신 사고기간,임신 사고 원인,임신 기간,분만일,총산자수,미라,사산,실산자수,생시도태두수,양자전입두수,양자전출두수,포유자돈폐사 두수,부분이유 두수,포유기간,이유일,이유두수
PF_0021281,223,5,1,5,20200908,,,115,20210101,17,2,0,15,,,,,,,,
PF_0021290,598,5,1,4,20200921,,,114,20210113,21,0,1,20,,,,,,,,
PF_0020253,113,0,1,252,20200919,,,116,20210113,11,0,2,9,,,,,,23,20210205,12
PF_0020236,433,4,1,5,20201006,,,118,20210201,15,0,4,11,,,,,,,,
PF_0020236,374,4,1,5,20200915,,,116,20210109,15,0,10,5,,,,,,21,20210130,11
PF_0020236,539,4,1,4,20200907,,,116,20210101,21,0,5,16,,,,3,,22,20210123,11
PF_0020236,404,4,1,5,20200908,,,117,20210103,21,0,2,19,,,,3,,20,20210123,11
PF_0020069,310,13,1,58,20200926,,,115,20210119,10,1,1,8,2,0,0,1,,,,
PF_0020236,465,6,1,5,20200922,,,115,20210115,22,0,8,14,,,,2,,15,20210130,11
PF_0020236,173,4,1,5,20201020,,,115,20210212,20,0,5,15,,,,,,,,
PF_0020236,191,6,1,4,20201019,,,115,20210211,22,0,5,17,,,,,,,,
PF_0020236,321,5,1,5,20201013,,,116,20210206,16,0,1,15,,,,,,,,
PF_0020236,54,1,1,6,20200923,,,115,20210116,6,0,0,6,,,,1,,14,20210130,11
PF_0020236,85,1,1,6,20200930,,,117,20210125,4,0,0,4,,,,1,,19,20210213,13
PF_0020236,561,4,1,4,20201005,,,119,20210201,17,0,1,16,,,,,,,,
PF_0020236,463,3,1,5,20201020,,,117,20210214,17,0,5,12,,,,,,,,
PF_0020236,208,3,1,5,20200915,,,117,20210110,25,0,6,19,,,,3,,20,20210130,11
PF_0020236,111,1,1,5,20201013,,,115,20210205,13,0,1,12,,,,,,,,
PF_0020236,147,4,1,5,20201006,,,118,20210201,10,0,1,9,,,,,,,,
PF_0020236,48,1,1,7,20200917,,,116,20210111,13,0,1,12,,,,1,,19,20210130,11
PF_0020236,73,1,3,0,20200930,,,117,20210125,16,0,1,15,,,,,,19,20210213,13
PF_0020266,243,1,1,295,20200909,,,115,20210102,18,0,3,15,,,,,,,,
PF_0020266,159,3,2,0,20200917,,,117,20210112,7,0,1,6,,,,,,,,
PF_0020266,200,2,1,26,20200908,,,117,20210103,9,0,1,8,,,,,,,,
PF_0020266,31,7,2,0,20200915,,,117,20210110,22,0,2,20,,,,,,,,
PF_0021295,126,1,1,6,20200930,,,117,20210125,8,0,0,8,,,,,,11,20210205,10
PF_0021280,329,1,1,0,20200922,,,114,20210114,12,3,0,9,,,,,,28,20210211,11
PF_0021280,76,6,1,4,20200921,,,115,20210114,10,1,0,9,,,,,,21,20210204,10
PF_0021280,343,1,1,0,20200921,,,115,20210114,12,2,0,10,,,,,,21,20210204,11
PF_0021290,378,6,1,4,20200916,,,117,20210111,15,0,0,15,,,,,,,,
PF_0021398,388,2,1,5,20201117,,,111,20210308,18,0,1,17,,,,,,24,20210401,10
PF_0021293,156,3,1,5,20201006,,,117,20210131,9,1,0,8,,,,1,,,,
PF_0021293,80,0,1,270,20200923,,,113,20210114,14,1,0,13,,,,1,,21,20210204,11
PF_0021293,83,0,1,270,20201010,,,107,20210125,11,1,0,10,,,,1,,,,
PF_0021398,136,5,1,4,20201221,,,114,20210414,20,0,3,17,,,,,,22,20210506,12
PF_0021398,64,4,1,0,20201013,,,113,20210203,19,0,1,18,,,,,,22,20210225,10
PF_0021293,193,1,1,5,20200915,,,116,20210109,8,0,0,8,,,,,,21,20210130,11
PF_0021398,19,5,1,5,20201201,,,115,20210326,15,0,1,14,,,,,,20,20210415,8
PF_0021398,190,4,1,4,20201123,,,114,20210317,18,0,3,15,,,,,,22,20210408,10
PF_0021293,98,3,2,0,20200930,,,122,20210130,2,0,2,0,,,,2,,,,
PF_0021293,125,5,1,5,20201006,,,116,20210130,16,2,0,14,,,,2,,,,
PF_0021281,225,6,1,5,20200908,,,116,20210102,13,0,0,13,,,,,,,,
PF_0021398,215,0,1,240,20200923,,,114,20210115,11,0,0,11,,,,,,20,20210204,12
PF_0021398,242,0,1,240,20201031,,,114,20210222,17,0,3,14,,,,,,24,20210318,8
PF_0021398,256,5,1,4,20200928,,,114,20210120,14,0,0,14,,,,,,22,20210211,8
PF_0021398,274,1,1,6,20200930,,,113,20210121,11,0,1,10,,,,,,21,20210211,12
PF_0021398,28,1,1,4,20201123,,,115,20210318,19,0,3,16,,,,,,21,20210408,12
PF_0021293,192,2,1,6,20201021,,,117,20210215,11,1,0,10,,,,1,,,,
PF_0021293,72,0,1,270,20201022,,,116,20210215,7,0,0,7,,,,,,,,
PF_0021398,118,4,1,0,20200928,,,114,20210120,21,0,3,18,,,,,,22,20210211,11
PF_0020266,242,1,1,296,20200909,,,117,20210104,5,0,0,5,,,,,,,,
PF_0020292,1365,0,2,0,20201103,,,117,20210228,11,0,0,11,0,0,0,,,25,20210325,11
PF_0020292,1426,0,1,230,20201119,,,117,20210316,10,0,0,10,0,0,0,,,23,20210408,12
PF_0020292,509,5,2,98,20201123,,,116,20210319,13,0,0,13,0,0,0,,,20,20210408,11
PF_0020292,712,3,2,98,20201123,,,117,20210320,14,0,0,14,0,0,0,,,19,20210408,12
PF_0020292,926,2,1,4,20201012,,,117,20210206,14,0,0,14,0,0,0,,,19,20210225,12
PF_0020292,548,5,1,4,20201019,,,118,20210214,13,0,5,8,0,0,0,,,25,20210311,8
PF_0020292,1388,0,1,311,20201021,,,115,20210213,10,0,0,10,0,0,0,,,26,20210311,12
PF_0020291,962,0,1,264,20201223,,,117,20210419,16,0,1,15,0,0,0,,,24,20210513,12
PF_0020291,1013,0,1,228,20210216,,,116,20210612,13,0,1,12,0,0,0,,,,,
PF_0020292,1123,1,1,6,20201104,,,118,20210302,10,0,0,10,0,0,0,,,23,20210325,12
PF_0020292,961,2,1,13,20201107,,,115,20210302,10,0,1,9,0,0,0,,,23,20210325,10
PF_0020292,583,4,2,14,20201207,,,117,20210403,11,0,4,7,0,0,0,,,26,20210429,11
PF_0020292,1461,0,1,257,20201216,,,116,20210411,13,0,0,13,0,0,0,,,25,20210506,12
PF_0020292,396,7,2,16,20201216,,,116,20210411,14,0,0,14,0,0,0,,,25,20210506,11
PF_0020292,1218,1,1,4,20201026,,,117,20210220,12,0,0,12,0,0,0,,,19,20210311,12
PF_0020292,752,3,1,4,20201026,,,117,20210220,16,0,0,16,0,0,0,,,26,20210318,11
PF_0020292,1402,0,1,258,20201029,,,118,20210224,11,0,0,11,0,0,0,,,22,20210318,10
PF_0020292,819,3,1,4,20201109,,,117,20210306,16,0,0,16,0,0,0,,,19,20210325,12
PF_0020292,1414,0,1,203,20201111,,,118,20210309,15,0,0,15,0,0,0,,,23,20210401,11
PF_0020291,919,0,1,226,20201015,,,117,20210209,17,0,3,14,0,0,0,,,23,20210304,10
PF_0020291,39,1,1,97,20201125,,,116,20210321,12,0,0,12,0,0,0,,,30,20210420,11
PF_0020291,970,0,1,262,20210105,,,116,20210501,13,0,1,12,0,0,0,,,26,20210527,11
PF_0020292,1423,0,1,228,20201117,,,116,20210313,14,0,2,12,0,0,0,,,26,20210408,12
PF_0020292,314,8,1,18,20201228,,,117,20210424,12,0,2,10,0,0,0,,,26,20210520,12
PF_0020292,840,3,1,18,20201228,,,117,20210424,14,0,0,14,0,0,0,,,26,20210520,11
PF_0020292,842,3,1,4,20201228,,,118,20210425,12,0,3,9,0,0,0,,,25,20210520,12
PF_0020292,701,4,1,4,20201214,,,117,20210410,13,0,0,13,0,0,0,,,26,20210506,12
PF_0020292,839,3,1,4,20201214,,,117,20210410,10,0,0,10,0,0,0,,,26,20210506,12
PF_0020292,1431,0,1,235,20201124,,,115,20210319,11,0,0,11,0,0,0,,,27,20210415,10
PF_0020292,1434,0,1,236,20201125,,,119,20210324,16,0,0,16,0,0,0,,,22,20210415,11
PF_0020291,1000,0,1,221,20210209,,,117,20210606,14,0,2,12,0,0,0,,,,,
PF_0020292,612,3,2,84,20201125,,,119,20210324,10,0,0,10,0,0,0,,,22,20210415,12
PF_0020292,1274,1,1,21,20201126,,,118,20210324,12,0,1,11,0,0,0,,,22,20210415,11
PF_0020292,1044,1,2,86,20201126,,,118,20210324,12,0,0,12,0,0,0,,,22,20210415,12
PF_0020292,1196,0,2,121,20201130,,,117,20210327,16,0,1,15,0,0,0,,,26,20210422,11
PF_0020292,1437,0,1,242,20201201,,,116,20210327,12,0,0,12,0,0,0,,,26,20210422,10
