개체 ID,그룹,상태,산차,출생 후 일수/연령,Flex 태그
0001,아래,임신,1,202,
001,2동,수정된 육성우,0,615,10060129
0003,3동,임신,1,199,
003,2동,임신,7,357,
0004,3동,임신,1,259,
004,2동,수정된 육성우,0,612,10058636
0005,3동,임신,1,160,
005,2동,수정된 육성우,0,612,10060018
006,2동,수정된 육성우,0,608,10059512
0006,아래,수정됨,1,233,10060023
0008,2동,수정됨,1,54,10059559
009,1동,임신된 미경산우,0,598,
0013,아래,임신,1,132,
0014,아래,임신,1,209,
0015,아래,수정됨,1,99,10058414
0018,1동,수정됨,1,66,10059173
0019,1동,수정됨,1,119,10057889
0023,1동,임신,1,204,
0024,3동,임신,1,193,
0025,3동,임신,1,170,
0026,3동,임신,1,148,
0027,2동,임신된 미경산우,0,902,
0028,2동,수정된 육성우,0,901,10075502
0029,3동,수정됨,1,99,10058515
0030,3동,임신,1,151,
0034,3동,수정됨,1,131,10058324
0036,3동,수정됨,1,76,10058698
0041,2동,수정됨,1,146,10057862
0044,2동,임신된 미경산우,0,852,
0046,2동,수정 준비됨,1,40,10057894
0047,3동,수정됨,1,138,10058623
0050,3동,임신된 미경산우,0,849,
0052,3동,최근 분만우,1,12,10058235
0053,3동,최근 분만우,1,7,10079594
0054,3동,최근 분만우,1,6,10058704
0056,2동,최근 분만우,1,29,10058596
0057,1동,최근 분만우,1,29,10060410
0059,1동,임신된 미경산우,0,840,
0066,2동,임신된 미경산우,0,824,
0071,2동,임신된 미경산우,0,806,
0072,2동,임신된 미경산우,0,804,
0075,아래,임신된 미경산우,0,797,
0083,1동,임신된 미경산우,0,761,
0085,1동,임신된 미경산우,0,722,
0087,2동,임신된 미경산우,0,707,
0092,2동,임신된 미경산우,0,699,
0093,3동,임신된 미경산우,0,695,
0100,2동,임신된 미경산우,0,671,
0101,2동,임신된 미경산우,0,671,
0102,2동,수정된 육성우,0,645,10058559
0103,1동,임신된 미경산우,0,642,
0107,2동,수정된 육성우,0,632,10060148
0108,1동,임신된 미경산우,0,632,
0109,2동,수정된 육성우,0,630,10058003
110,1동,임신된 미경산우,0,598,
0110,2동,수정된 육성우,0,619,10059122
112,1동,육성우,0,232,10057888
114,2동,수정된 육성우,0,597,10058625
115,2동,수정된 육성우,0,594,10057871
119,2동,수정된 육성우,0,585,10057983
120,3동,수정된 육성우,0,585,10077721
121,아래,수정 준비된 육성우,0,584,10057870
123,3동,수정 준비된 육성우,0,580,10058649
125,3동,수정 준비된 육성우,0,579,10074927
126,아래,수정 준비된 육성우,0,575,10070081
131,아래,수정 준비된 육성우,0,558,10060136
201,2동,수정된 육성우,0,609,10058702
0205,아래,임신,1,212,
0262,아래,임신된 미경산우,0,782,
0271,아래,임신된 미경산우,0,771,
1051,3동,수정됨,6,102,10058703
1054,3동,수정됨,8,179,10059614
1067,1동,임신,7,295,
1093,1동,수정됨,9,141,10058541
1099,3동,임신,7,241,
1123,아래,임신,8,229,
1141,3동,임신,8,161,
1143,2동,임신,8,363,
1189,2동,수정됨,8,54,10057866
1196,1동,임신,8,333,
1504,1동,임신,8,271,
2017,2동,임신,7,321,
2018,3동,수정됨,8,138,10057995
2028,3동,수정됨,8,183,10058005
2039,3동,임신,8,150,
2053,3동,임신,8,245,
2054,3동,임신,7,242,
2055,2동,최근 분만우,8,1,
2056,2동,임신,7,426,
3022,2동,수정 준비됨,6,57,
3026,2동,수정 준비됨,6,80,10058589
3038,아래,임신,7,237,
3040,1동,수정됨,5,447,10058225
3047,3동,수정됨,7,124,10058629
