개체 ID,그룹,상태,산차,출생 후 일수/연령,번식금지,최근 수정 이후 경과일수,임신 가능성
9002,3동,수정됨,2,231,false,176,높음
3040,1동,수정됨,5,447,false,172,중간
0006,아래,수정됨,1,233,false,169,낮음
5076,3동,수정됨,4,253,false,162,높음
5031,3동,수정됨,6,197,false,156,높음
8093,2동,수정됨,2,353,false,152,높음
8066,2동,수정됨,2,310,false,142,높음
5001,3동,수정됨,7,199,false,131,중간
1054,3동,수정됨,8,179,false,125,중간
0110,2동,수정된 육성우,0,619,false,125,높음
0028,2동,수정된 육성우,0,901,false,123,높음
8102,3동,수정됨,2,188,false,122,높음
5032,아래,수정됨,5,199,false,107,높음
0107,2동,수정된 육성우,0,632,false,106,높음
001,2동,수정된 육성우,0,615,false,104,높음
5046,3동,수정됨,5,200,false,103,낮음
003B,2동,수정된 육성우,0,612,false,102,낮음
0109,2동,수정된 육성우,0,630,false,99,높음
201,2동,수정된 육성우,0,609,false,93,중간
6080,2동,수정됨,4,136,false,93,높음
5027,3동,수정됨,6,142,false,90,중간
5011,1동,수정됨,5,145,false,89,낮음
7043,3동,수정됨,3,128,false,79,높음
7047,3동,수정됨,4,125,false,78,높음
9221,3동,수정됨,2,141,false,75,높음
4054,3동,수정됨,6,133,false,75,높음
6069,3동,수정됨,4,170,false,73,높음
7006,3동,수정됨,4,145,false,72,높음
114,2동,수정된 육성우,0,597,false,72,높음
6084,3동,수정됨,9,143,false,71,높음
4066,3동,수정됨,6,109,false,69,높음
7046,3동,수정됨,4,108,false,66,높음
5069,3동,수정됨,5,155,false,65,높음
006,2동,수정된 육성우,0,608,false,62,낮음
4025,3동,수정됨,7,102,false,62,높음
0041,2동,수정됨,1,146,false,60,낮음
0034,3동,수정됨,1,131,false,59,중간
9251,1동,수정됨,2,108,false,55,낮음
3047,3동,수정됨,7,124,false,54,중간
5028,3동,수정됨,5,142,false,50,낮음
8032,3동,수정됨,3,159,false,48,중간
9031,2동,수정됨,2,80,false,48,중간
0029,3동,수정됨,1,99,false,46,중간
5017,1동,수정됨,6,94,false,41,중간
119,2동,수정된 육성우,0,585,false,38,중간
2028,3동,수정됨,8,183,false,36,중간
6036,아래,수정됨,3,148,false,35,중간
3067,1동,수정됨,6,124,false,34,중간
7074,3동,수정됨,2,221,false,33,중간
0015,아래,수정됨,1,99,false,31,중간
7100,2동,수정됨,3,69,false,29,낮음
0102,2동,수정된 육성우,0,645,false,28,중간