cow_num,group,stats,carving_num,age,sensorID,,,,
1,아래,임신,1,209,,,,,
1,2동,수정된 육성우,0,622,10060129,,,,
3,3동,임신,1,206,,,,,
3,2동,임신,7,364,,,,,
4,3동,임신,1,266,,,,,
4,2동,수정된 육성우,0,619,10058636,,,,
5,3동,임신,1,167,,,,,
5,2동,수정된 육성우,0,619,10060018,,,,
6,2동,수정된 육성우,0,615,10059512,,,,
6,아래,수정됨,1,240,10060023,,,,
8,2동,수정됨,1,61,10059559,,,,
9,1동,임신된 미경산우,0,605,,,,,
13,아래,임신,1,139,,,,,
14,아래,임신,1,216,,,,,
15,아래,수정됨,1,106,10058414,,,,
18,1동,수정됨,1,73,10059173,,,,
19,1동,수정됨,1,126,10057889,,,,
23,1동,임신,1,211,,,,,
24,3동,임신,1,200,,,,,
25,3동,임신,1,177,,,,,
26,3동,임신,1,155,,,,,
27,2동,임신된 미경산우,0,909,,,,,
28,2동,수정된 육성우,0,908,10075502,,,,
29,3동,수정됨,1,106,10058515,,,,
30,3동,임신,1,158,,,,,
34,3동,수정됨,1,138,10058324,,,,
36,3동,수정됨,1,83,10058698,,,,
41,2동,수정됨,1,153,10057862,,,,
44,2동,임신된 미경산우,0,859,,,,,
46,2동,수정 준비됨,1,47,10,,,,
47,3동,수정됨,1,145,10058623,,,,
50,3동,최근 분만우,1,3,,,,,
52,3동,최근 분만우,1,19,10058235,,,,
53,3동,최근 분만우,1,14,10079594,,,,
54,3동,최근 분만우,1,13,10058704,,,,
56,2동,수정 준비됨,1,36,11,,,,
57,1동,수정 준비됨,1,36,12,,,,
59,1동,임신된 미경산우,0,847,,,,,
66,2동,임신된 미경산우,0,831,,,,,
71,2동,임신된 미경산우,0,813,,,,,
72,2동,임신된 미경산우,0,811,,,,,
75,아래,임신된 미경산우,0,804,,,,,
83,1동,임신된 미경산우,0,768,,,,,
85,1동,임신된 미경산우,0,729,,,,,
87,2동,임신된 미경산우,0,714,,,,,
92,2동,임신된 미경산우,0,706,,,,,
93,3동,임신된 미경산우,0,702,,,,,
100,2동,임신된 미경산우,0,678,,,,,
101,2동,임신된 미경산우,0,678,,,,,
102,2동,수정된 육성우,0,652,10058559,,,,
103,1동,임신된 미경산우,0,649,,,,,
107,2동,수정된 육성우,0,639,10060148,,,,
108,1동,임신된 미경산우,0,639,,,,,
109,2동,수정된 육성우,0,637,10058003,,,,
110,1동,임신된 미경산우,0,605,,,,,
110,2동,수정된 육성우,0,626,10059122,,,,
112,1동,육성우,0,239,10057888,,,,
114,2동,수정된 육성우,0,604,10058625,,,,
