id,cow_num,group,stats,carving_num,age,sensorID
1,1,calf farm,Pregnancy,1,209,
2,1,second farm,fertilization,0,622,10060129
3,3,third farm,Pregnancy,1,206,
4,3,second farm,Pregnancy,7,364,
5,4,third farm,Pregnancy,1,266,
6,4,second farm,fertilization,0,619,10058636
7,5,third farm,Pregnancy,1,167,
8,5,second farm,fertilization,0,619,10060018
9,6,second farm,fertilization,0,615,10059512
10,6,calf farm,fertilization,1,240,10060023
11,8,second farm,fertilization,1,61,10059559
12,9,first farm,Pregnancy ,0,605,
13,13,calf farm,Pregnancy,1,139,
14,14,calf farm,Pregnancy,1,216,
15,15,calf farm,fertilization,1,106,10058414
16,18,first farm,fertilization,1,73,10059173
17,19,first farm,fertilization,1,126,10057889
18,23,first farm,Pregnancy,1,211,
19,24,third farm,Pregnancy,1,200,
20,25,third farm,Pregnancy,1,177,
21,26,third farm,Pregnancy,1,155,
22,27,second farm,Pregnancy ,0,909,
23,28,second farm,fertilization,0,908,10075502
24,29,third farm,fertilization,1,106,10058515
25,30,third farm,Pregnancy,1,158,
26,34,third farm,fertilization,1,138,10058324
27,36,third farm,fertilization,1,83,10058698
28,41,second farm,fertilization,1,153,10057862
29,44,second farm,Pregnancy ,0,859,
30,46,second farm, preparation for pregnancy,1,47,10
31,47,third farm,fertilization,1,145,10058623
32,50,third farm,recent delivery,1,3,
33,52,third farm,recent delivery,1,19,10058235
34,53,third farm,recent delivery,1,14,10079594
35,54,third farm,recent delivery,1,13,10058704
36,56,second farm, preparation for pregnancy,1,36,11
37,57,first farm, preparation for pregnancy,1,36,12
38,59,first farm,Pregnancy ,0,847,
39,66,second farm,Pregnancy ,0,831,
40,71,second farm,Pregnancy ,0,813,
41,72,second farm,Pregnancy ,0,811,
42,75,calf farm,Pregnancy ,0,804,
43,83,first farm,Pregnancy ,0,768,
44,85,first farm,Pregnancy ,0,729,
45,87,second farm,Pregnancy ,0,714,
46,92,second farm,Pregnancy ,0,706,
47,93,third farm,Pregnancy ,0,702,
48,100,second farm,Pregnancy ,0,678,
49,101,second farm,Pregnancy ,0,678,
50,102,second farm,fertilization,0,652,10058559
51,103,first farm,Pregnancy ,0,649,
52,107,second farm,fertilization,0,639,10060148
53,108,first farm,Pregnancy ,0,639,
54,109,second farm,fertilization,0,637,10058003
55,110,first farm,Pregnancy ,0,605,
56,110,second farm,fertilization,0,626,10059122
57,112,first farm, preparation for pregnancy,0,239,10057888
58,114,second farm,fertilization,0,604,10058625
59,115,second farm,fertilization,0,601,10057871
60,119,second farm,fertilization,0,592,10057983
61,120,third farm,fertilization,0,592,10077721
62,121,calf farm, preparation for pregnancy,0,591,10057870
63,123,third farm,fertilization,0,587,10058649
