소개월령구간,폐사년월,폐사두수,,폐사,겨울,봄,여름,가을,모든계절
01개월이하,202001,1656,,,1703,1954,1401,1156,
01개월이하,202002,1759,,,1656,1823,1352,913,
01개월이하,202003,1954,,,1759,1473,1425,1046,
01개월이하,202004,1823,,합계,5118,5250,4178,3115,17661
01개월이하,202005,1473,,,,,,,
01개월이하,202006,1401,,출산,8297,7753,6838,8969,
01개월이하,202007,1352,,,7368,6260,9520,9459,
01개월이하,202008,1425,,,8427,4654,9015,8545,
01개월이하,202009,1156,,,1129,1041,923,1062,
01개월이하,202010,913,,,1022,806,1256,1075,
01개월이하,202011,1046,,,785,630,1139,837,
01개월이하,202012,1703,,,7401,6603,5805,7626,
02개월,202001,1072,,,6367,5494,7968,8186,
02개월,202002,1121,,,7455,4034,7948,7437,
02개월,202003,1247,,,30067,62507,51649,32116,
02개월,202004,1107,,,38994,70913,42747,31780,
02개월,202005,1441,,,30106,63656,39018,29044,
02개월,202006,1459,,,28962,61209,48458,30029,
02개월,202007,1342,,,37627,67390,40335,29332,
02개월,202008,1273,,,28143,59975,36575,26538,
02개월,202009,1066,,합계,242150,422925,309194,232035,1206304
02개월,202010,1091,,,,,,,
02개월,202011,992,,,,,,,
02개월,202012,1327,,,,,,,
03개월,202001,643,,,,,,,
03개월,202002,583,,,,,,,
03개월,202003,732,,,,,,,
03개월,202004,600,,,,,,,
03개월,202005,729,,,,,,,
03개월,202006,910,,,,,,,
03개월,202007,901,,,,,,,
03개월,202008,835,,,,,,,
03개월,202009,672,,,,,,,
03개월,202010,654,,,,,,,
03개월,202011,576,,,,,,,
03개월,202012,736,,,,,,,
04개월,202001,519,,,,,,,
04개월,202002,458,,,,,,,
04개월,202003,508,,,,,,,
04개월,202004,445,,,,,,,
04개월,202005,456,,,,,,,
04개월,202006,568,,,,,,,
04개월,202007,722,,,,,,,
04개월,202008,744,,,,,,,
04개월,202009,539,,,,,,,
04개월,202010,505,,,,,,,
04개월,202011,524,,,,,,,
04개월,202012,560,,,,,,,
05개월,202001,364,,,,,,,
05개월,202002,287,,,,,,,
05개월,202003,282,,,,,,,
05개월,202004,277,,,,,,,
05개월,202005,244,,,,,,,
05개월,202006,247,,,,,,,
05개월,202007,353,,,,,,,
05개월,202008,490,,,,,,,
05개월,202009,403,,,,,,,
05개월,202010,379,,,,,,,
05개월,202011,345,,,,,,,
05개월,202012,465,,,,,,,
06개월,202001,270,,,,,,,
06개월,202002,245,,,,,,,
06개월,202003,226,,,,,,,
06개월,202004,179,,,,,,,
06개월,202005,178,,,,,,,
