개체 ID,그룹,상태,산차,출생 후 일수/연령,최근 수정 이후 경과일수,임신 일수,예상 분만
2056,2동,임신,7,426,294,294,"2022.08.30.
-9 Days"
80530,2동,임신,11,431,291,291,"2022.09.02.
-6 Days"
4038,2동,임신,6,323,289,289,"2022.09.04.
-4 Days"
4027,1동,임신,6,476,288,288,"2022.09.05.
-3 Days"
7032,2동,임신,3,337,286,286,"2022.09.07.
-1 Day"
0059,1동,임신된 미경산우,0,840,286,286,"2022.09.07.
-1 Day"
4061,2동,임신,6,338,284,284,"2022.09.09.
+1 Day"
4016,1동,임신,6,340,282,282,"2022.09.11.
+3 Days"
0050,3동,임신된 미경산우,0,849,280,280,"2022.09.13.
+5 Days"
3141,2동,임신,6,348,280,280,"2022.09.13.
+5 Days"
5089,3동,임신,4,449,278,278,"2022.09.15.
+7 Days"
7049,2동,임신,3,327,276,276,"2022.09.17.
+9 Days"
8037,2동,임신,2,352,275,275,"2022.09.18.
+10 Days"
0044,2동,임신된 미경산우,0,852,275,275,"2022.09.18.
+10 Days"
0071,2동,임신된 미경산우,0,806,274,274,"2022.09.19.
+11 Days"
4039,2동,임신,6,330,272,272,"2022.09.21.
+13 Days"
8086,2동,임신,2,317,271,271,"2022.09.22.
+14 Days"
4074,2동,임신,5,318,269,269,"2022.09.24.
+16 Days"
7092,2동,임신,2,399,267,267,"2022.09.26.
+18 Days"
8089,2동,임신,2,306,266,266,"2022.09.27.
+19 Days"
1143,2동,임신,8,363,265,265,"2022.09.28.
+20 Days"
9051,2동,임신,1,389,265,265,"2022.09.28.
+20 Days"
3112,2동,임신,7,425,265,265,"2022.09.28.
+20 Days"
9077,2동,임신,1,362,263,263,"2022.09.30.
+22 Days"
0072,2동,임신된 미경산우,0,804,262,262,"2022.10.01.
+23 Days"
4031,1동,임신,5,309,260,260,"2022.10.03.
+25 Days"
9080,2동,임신,1,302,256,256,"2022.10.07.
+29 Days"
3127,2동,임신,7,308,254,254,"2022.10.09.
+31 Days"
9078,2동,임신,1,342,253,253,"2022.10.10.
+32 Days"
9048,2동,임신,1,350,252,252,"2022.10.11.
+33 Days"
4060,2동,임신,5,315,252,252,"2022.10.11.
+33 Days"
8035,3동,임신,4,459,250,250,"2022.10.13.
+35 Days"
9039,2동,임신,1,425,248,248,"2022.10.15.
+37 Days"
9103,3동,임신,1,284,247,247,"2022.10.16.
+38 Days"
4073,2동,임신,4,329,247,247,"2022.10.16.
+38 Days"
8312,2동,임신,2,292,246,246,"2022.10.17.
+39 Days"
5006,2동,임신,4,432,245,245,"2022.10.18.
+40 Days"
3064,2동,임신,6,396,245,245,"2022.10.18.
+40 Days"
003,2동,임신,7,357,245,245,"2022.10.18.
+40 Days"
8288,2동,임신,2,324,243,243,"2022.10.20.
+42 Days"
8101,2동,임신,2,307,243,243,"2022.10.20.
+42 Days"
9093,3동,임신,1,286,241,241,"2022.10.22.
+44 Days"
9003,2동,임신,2,311,241,241,"2022.10.22.
+44 Days"
8015,2동,임신,2,316,241,241,"2022.10.22.
+44 Days"
1196,1동,임신,8,333,241,241,"2022.10.22.
+44 Days"
7084,2동,임신,3,314,240,240,"2022.10.23.
+45 Days"
8100,2동,임신,2,309,240,240,"2022.10.23.
+45 Days"
9068,2동,임신,1,276,236,236,"2022.10.27.
+49 Days"
9258,2동,임신,1,397,236,236,"2022.10.27.
+49 Days"
2017,2동,임신,7,321,234,234,"2022.10.29.
+51 Days"
7062,2동,임신,2,353,232,232,"2022.10.31.
+53 Days"
9066,2동,임신,1,295,231,231,"2022.11.01.
+54 Days"
0066,2동,임신된 미경산우,0,824,231,231,"2022.11.01.
+54 Days"
3061,2동,임신,7,346,231,231,"2022.11.01.
+54 Days"
8063,1동,임신,2,286,229,229,"2022.11.03.
+56 Days"
4029,2동,임신,5,430,229,229,"2022.11.03.
+56 Days"
9063,2동,임신,1,317,228,228,"2022.11.04.
+57 Days"
9059,2동,임신,1,421,224,224,"2022.11.08.
+61 Days"
8046,2동,임신,2,361,215,215,"2022.11.17.
+70 Days"
8074,3동,임신,2,260,212,212,"2022.11.20.
+73 Days"
0004,3동,임신,1,259,212,212,"2022.11.20.
+73 Days"
1504,1동,임신,8,271,212,212,"2022.11.20.
+73 Days"
8096,1동,임신,2,281,212,212,"2022.11.20.
+73 Days"
6013,1동,임신,4,284,211,211,"2022.11.21.
+74 Days"
9055,2동,임신,1,360,211,211,"2022.11.21.
+74 Days"
9052,2동,임신,1,414,210,210,"2022.11.22.
+75 Days"
8069,1동,임신,2,277,210,210,"2022.11.22.
+75 Days"
5055,아래,임신,4,250,210,210,"2022.11.22.
+75 Days"
0262,아래,임신된 미경산우,0,782,203,203,"2022.11.29.
+82 Days"
0100,2동,임신된 미경산우,0,671,202,202,"2022.11.30.
+83 Days"
5041,2동,임신,5,309,201,201,"2022.12.01.
+84 Days"
5033,3동,임신,5,238,200,200,"2022.12.02.
+85 Days"
7093,2동,임신,3,276,200,200,"2022.12.02.
+85 Days"
0083,1동,임신된 미경산우,0,761,199,199,"2022.12.03.
+86 Days"
6056,2동,임신,3,378,199,199,"2022.12.03.
+86 Days"
0271,아래,임신된 미경산우,0,771,199,199,"2022.12.03.
+86 Days"
8105,2동,임신,2,292,199,199,"2022.12.03.
+86 Days"
8094,2동,임신,10,364,199,199,"2022.12.03.
+86 Days"
3071,3동,임신,6,251,198,198,"2022.12.04.
+87 Days"
6052,3동,임신,4,241,196,196,"2022.12.06.
+89 Days"
7064,1동,임신,3,242,196,196,"2022.12.06.
+89 Days"
9216,3동,임신,2,234,196,196,"2022.12.06.
+89 Days"
3105,아래,임신,7,266,196,196,"2022.12.06.
+89 Days"
8076,아래,임신,2,234,196,196,"2022.12.06.
+89 Days"
8090,3동,임신,2,246,195,195,"2022.12.07.
+90 Days"
9000,3동,임신,2,261,195,195,"2022.12.07.
+90 Days"
8064,3동,임신,2,269,194,194,"2022.12.08.
+91 Days"
8091,3동,임신,2,268,192,192,"2022.12.10.
+93 Days"
5066,3동,임신,5,253,192,192,"2022.12.10.
+93 Days"
4070,3동,임신,5,268,190,190,"2022.12.12.
+95 Days"
8098,2동,임신,2,298,187,187,"2022.12.15.
+98 Days"
0101,2동,임신된 미경산우,0,671,187,187,"2022.12.15.
+98 Days"
0085,1동,임신된 미경산우,0,722,184,184,"2022.12.18.
+101 Days"
8059,2동,임신,2,302,184,184,"2022.12.18.
+101 Days"
8040,1동,임신,2,239,180,180,"2022.12.22.
+105 Days"
6068,3동,임신,4,231,179,179,"2022.12.23.
+106 Days"
9056,2동,임신,1,402,179,179,"2022.12.23.
+106 Days"
9089,3동,임신,1,250,179,179,"2022.12.23.
+106 Days"
1067,1동,임신,7,295,178,178,"2022.12.24.
+107 Days"
