Events

ID,날짜,이벤트 이름,출생 후 일수/연령,설명
"3122","2022.09.08. 오후 2:20","통증 / 스트레스","17","지속 시간: 12:30, 형태: 통증 스트레스"
"7026","2022.09.07. 오후 11:00","시스템 건강","130","건강 지수: 77"
"7006","2022.09.07. 오후 10:13","통증 / 스트레스","144","지속 시간: 16:30, 형태: 통증 스트레스"
"6069","2022.09.07. 오후 10:00","시스템 건강","169","건강 지수: 77"
"6069","2022.09.07. 오후 9:55","통증 / 스트레스","169","지속 시간: 17:30, 형태: 통증 스트레스"
"A142","2022.09.07. 오후 8:46","통증 / 스트레스","519","지속 시간: 14:50, 형태: 통증 스트레스"
"7007","2022.09.07. 오후 8:34","통증 / 스트레스","127","지속 시간: 16:40, 형태: 통증 스트레스"
"2055","2022.09.07. 오후 7:50","분만","3663","신규 분만 수: 8, 임신 일수: 287, 목적지 그룹: 2동"
"4021","2022.09.07. 오후 6:39","분만","3081","신규 분만 수: 7, 임신 일수: 291, 목적지 그룹: 2동"
"0006","2022.09.07. 오전 11:00","시스템 발정","232","발정 지수: 95.07"
"0052","2022.09.07. 오전 8:00","시스템 건강","11","건강 지수: 74"
"7015","2022.09.07. 오전 6:00","시스템 발정","31","발정 지수: 96.84"
"7063","2022.09.06. 오후 7:00","시스템 발정","93","발정 지수: 54.85"
"4072","2022.09.06. 오후 6:00","시스템 건강","13","건강 지수: 67"
"7026","2022.09.06. 오후 4:00","시스템 발정","129","발정 지수: 49.77"
"8097","2022.09.06. 오전 6:00","시스템 발정","60","발정 지수: 98.09"
"3134","2022.09.06. 오전 5:00","시스템 발정","81","발정 지수: 73.17"
"3134","2022.09.05. 오후 7:45","통증 / 스트레스","80","지속 시간: 17:40, 형태: 통증 스트레스"
"5028","2022.09.05. 오후 5:00","시스템 발정","139","발정 지수: 95.84"
"4068","2022.09.05. 오후 4:42","Flex 태그 할당","17","새 태그: 10058478, 태그 종류: FLEX"
"121","2022.09.05. 오후 4:42","Flex 태그 할당","581","새 태그: 10057870, 태그 종류: FLEX"
"131","2022.09.05. 오후 4:42","Flex 태그 할당","555","새 태그: 10060136, 태그 종류: FLEX"
"126","2022.09.05. 오후 4:41","Flex 태그 할당","572","새 태그: 10070081, 태그 종류: FLEX"
"8057","2022.09.05. 오후 4:41","Flex 태그 할당","140","새 태그: 10058663, 태그 종류: FLEX"
"6065","2022.09.05. 오후 4:41","Flex 태그 할당","22","새 태그: 10059553, 태그 종류: FLEX"
"8048","2022.09.05. 오후 4:41","Flex 태그 할당","152","새 태그: 10059114, 태그 종류: FLEX"
"6077","2022.09.05. 오후 4:40","Flex 태그 제거","100","제거된 태그: 10059114, 태그 종류: FLEX"
"6077","2022.09.05. 오후 4:40","양성","100","결과: 양성, 수태된 수정 날짜: 2022.07.08., 임신 일수: 59 일"
"0057","2022.09.05. 오후 4:40","Flex 태그 할당","26","새 태그: 10060410, 태그 종류: FLEX"
"9028","2022.09.05. 오후 4:39","Flex 태그 할당","20","새 태그: 10069779, 태그 종류: FLEX"
"0018","2022.09.05. 오후 4:39","Flex 태그 할당","63","새 태그: 10059173, 태그 종류: FLEX"
"9050","2022.09.05. 오후 4:39","Flex 태그 할당","47","새 태그: 10058233, 태그 종류: FLEX"
"A143","2022.09.05. 오후 4:39","Flex 태그 할당","517","새 태그: 10058326, 태그 종류: FLEX"
"A142","2022.09.05. 오후 4:38","Flex 태그 할당","517","새 태그: 10060144, 태그 종류: FLEX"
"8058","2022.09.05. 오후 4:38","Flex 태그 할당","59","새 태그: 10058230, 태그 종류: FLEX"
"8055","2022.09.05. 오후 4:37","Flex 태그 할당","31","새 태그: 10057864, 태그 종류: FLEX"
"0056","2022.09.05. 오후 4:36","Flex 태그 할당","26","새 태그: 10058596, 태그 종류: FLEX"
"7029","2022.09.05. 오후 4:36","Flex 태그 할당","14","새 태그: 10059701, 태그 종류: FLEX"
"7009","2022.09.05. 오후 4:36","Flex 태그 할당","26","새 태그: 10070206, 태그 종류: FLEX"
"7035","2022.09.05. 오후 4:36","Flex 태그 할당","21","새 태그: 10069981, 태그 종류: FLEX"
"2039","2022.09.05. 오후 4:35","Flex 태그 제거","147","제거된 태그: 10069981, 태그 종류: FLEX"
"2039","2022.09.05. 오후 4:35","양성","147","결과: 양성, 수태된 수정 날짜: 2022.06.17., 임신 일수: 80 일"
"9057","2022.09.05. 오후 4:35","Flex 태그 할당","10","새 태그: 10060160, 태그 종류: FLEX"
"9064","2022.09.05. 오후 4:34","Flex 태그 할당","31","새 태그: 10058612, 태그 종류: FLEX"
"9291","2022.09.05. 오후 4:34","Flex 태그 할당","18","새 태그: 10059538, 태그 종류: FLEX"
"8051","2022.09.05. 오후 4:34","Flex 태그 할당","15","새 태그: 10060203, 태그 종류: FLEX"
"4072","2022.09.05. 오후 4:34","Flex 태그 할당","12","새 태그: 10057892, 태그 종류: FLEX"
"3122","2022.09.05. 오후 4:33","Flex 태그 할당","14","새 태그: 10059594, 태그 종류: FLEX"
"5090","2022.09.05. 오후 4:32","Flex 태그 할당","54","새 태그: 10057879, 태그 종류: FLEX"
"A140","2022.09.05. 오후 4:32","Flex 태그 할당","523","새 태그: 10059116, 태그 종류: FLEX"
"120","2022.09.05. 오후 4:32","Flex 태그 할당","582","새 태그: 10077721, 태그 종류: FLEX"
"125","2022.09.05. 오후 4:31","Flex 태그 할당","576","새 태그: 10074927, 태그 종류: FLEX"
"123","2022.09.05. 오후 4:31","Flex 태그 할당","577","새 태그: 10058649, 태그 종류: FLEX"
"8048","2022.09.05. 오후 4:31","Flex 태그 제거","152","제거된 태그: 10058649, 태그 종류: FLEX"
"0052","2022.09.05. 오후 4:31","Flex 태그 할당","9","새 태그: 10058235, 태그 종류: FLEX"
"0053","2022.09.05. 오후 4:30","Flex 태그 할당","4","새 태그: 10079594, 태그 종류: FLEX"
"0054","2022.09.05. 오후 4:30","Flex 태그 할당","3","새 태그: 10058704, 태그 종류: FLEX"
"8078","2022.09.05. 오전 5:00","시스템 발정","96","발정 지수: 78.06"
"5082","2022.09.05. 오전 4:00","시스템 발정","65","발정 지수: 90.39"
"7063","2022.09.04. 오후 8:00","시스템 발정","91","발정 지수: 93.93"
"0110","2022.09.04. 오전 11:00","시스템 건강","615","건강 지수: 69"
