"데이터직무별(1)",2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"데이터직무별(1)",전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축·가공 서비스업,데이터 관련 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축·가공 서비스업,데이터 관련 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업
"평균",7.9,25.0,4.9,23.1,2.7,8.2,24.4,5.0,23.3,2.9,10.4,25.2,10.1,5.2,10.7,23.7,10.3,6.0,9.8,12.4,11.5,6.2
"데이터 아키텍트",-,-,-,-,-,-,-,-,-,-,12.8,28.0,10.2,11.9,13.2,23.1,11.3,9.6,11.1,14.6,11.5,3.0
"데이터 개발자",6.3,20.9,3.1,15.8,2.3,6.4,20.2,3.0,16.0,2.4,9.3,24.3,7.6,4.8,9.7,25.1,7.9,5.0,9.4,13.8,9.6,6.6
"데이터 엔지니어",7.9,57.0,1.8,7.8,1.3,8.2,56.5,2.1,8.2,1.3,9.6,24.0,8.1,7.0,9.5,21.5,8.0,7.3,9.3,8.7,11.0,6.6
"데이터 분석가",7.6,4.8,8.0,61.5,0.2,8.0,5.9,8.2,58.5,0.6,9.1,21.0,9.2,4.8,10.9,19.9,10.1,8.4,9.9,12.3,12.8,6.3
"데이터베이스 관리자",-,-,-,-,-,-,-,-,-,-,6.9,32.3,7.8,3.3,7.9,30.3,8.7,4.2,6.6,12.2,8.8,3.9
"데이터 과학자",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.4,38.1,74.4,30.0,44.9,31.3,57.2,34.3,30.4,15.3,33.5,36.6
"데이터 컨설턴트",31.6,18.3,33.8,45.5,34.4,32.1,17.7,35.2,45.7,41.3,19.4,24.4,17.0,14.2,19.5,22.9,18.4,13.6,17.7,13.5,20.8,16.3
"데이터 기획자",3.7,38.5,-,4.0,0.5,4.6,37.9,2.8,5.6,0.7,7.9,25.5,15.8,3.5,7.4,19.4,11.1,3.9,5.8,9.1,9.3,3.3
