"데이터산업별(1)","데이터직무별(1)",2015,2016,2017,2018,2019,2020,2021
"데이터산업별(1)","데이터직무별(1)",인력수 (명),인력수 (명),인력수 (명),인력수 (명),인력수 (명),인력수 (명),인력수 (명)
"전체","전체",70338,73256,77105,82623,89058,101967,122431
"전체","데이터 아키텍트",-,4736,5025,5901,6508,7470,9329
"전체","데이터 개발자",-,27379,29267,30022,31330,34085,42128
"전체","데이터 엔지니어",-,12664,13127,13731,14592,16450,18964
"전체","데이터 분석가",-,4477,4792,5820,6571,7555,9461
"전체","데이터베이스관리자",-,11488,11851,12615,12928,15199,17706
"전체","데이터 과학자",-,1185,1283,1285,1608,2421,3027
"전체","데이터 컨설턴트",-,4028,4263,5007,5686,6979,8979
"전체","데이터 기획자",-,7299,7497,8242,9836,11808,12837
"데이터 처리 및 관리 솔루션 개발·공급업","전체",8886,9272,10291,11541,13467,17273,22124
"데이터 처리 및 관리 솔루션 개발·공급업","데이터 아키텍트",-,569,618,806,1202,1588,2061
"데이터 처리 및 관리 솔루션 개발·공급업","데이터 개발자",-,3835,4429,4579,4799,5683,7891
"데이터 처리 및 관리 솔루션 개발·공급업","데이터 엔지니어",-,1380,1468,1616,1862,2421,3276
"데이터 처리 및 관리 솔루션 개발·공급업","데이터 분석가",-,588,629,892,1039,1292,1519
"데이터 처리 및 관리 솔루션 개발·공급업","데이터베이스관리자",-,648,702,842,1023,1409,1769
"데이터 처리 및 관리 솔루션 개발·공급업","데이터 과학자",-,203,218,218,288,540,762
"데이터 처리 및 관리 솔루션 개발·공급업","데이터 컨설턴트",-,1446,1530,1736,2076,2265,2556
"데이터 처리 및 관리 솔루션 개발·공급업","데이터 기획자",-,603,697,852,1177,2075,2289
"데이터 구축 및 컨설팅 서비스업","전체",34323,35404,37516,40197,42979,48644,58733
"데이터 구축 및 컨설팅 서비스업","데이터 아키텍트",-,3712,3918,4330,4355,4915,6044
"데이터 구축 및 컨설팅 서비스업","데이터 개발자",-,14971,15890,16302,17092,18173,21858
"데이터 구축 및 컨설팅 서비스업","데이터 엔지니어",-,6886,7225,7528,8035,8780,9866
"데이터 구축 및 컨설팅 서비스업","데이터 분석가",-,1817,1973,2457,2794,3011,3828
"데이터 구축 및 컨설팅 서비스업","데이터베이스관리자",-,3869,4120,4617,4644,6098,7736
"데이터 구축 및 컨설팅 서비스업","데이터 과학자",-,538,583,581,784,1149,1443
"데이터 구축 및 컨설팅 서비스업","데이터 컨설턴트",-,2460,2607,2904,3001,3672,4856
"데이터 구축 및 컨설팅 서비스업","데이터 기획자",-,1151,1200,1478,2274,2845,3101
"데이터 판매 및 제공 서비스업","전체",27129,28580,29298,30885,32611,36050,41574
"데이터 판매 및 제공 서비스업","데이터 아키텍트",-,455,489,765,952,967,1223
"데이터 판매 및 제공 서비스업","데이터 개발자",-,8573,8948,9141,9439,10229,12379
"데이터 판매 및 제공 서비스업","데이터 엔지니어",-,4398,4434,4587,4695,5249,5822
"데이터 판매 및 제공 서비스업","데이터 분석가",-,2072,2190,2471,2737,3251,4113
"데이터 판매 및 제공 서비스업","데이터베이스관리자",-,6971,7029,7156,7260,7692,8201
"데이터 판매 및 제공 서비스업","데이터 과학자",-,444,482,486,536,732,823
"데이터 판매 및 제공 서비스업","데이터 컨설턴트",-,122,126,367,609,1042,1567
"데이터 판매 및 제공 서비스업","데이터 기획자",-,5545,5600,5912,6384,6889,7447
