"데이터직무별(1)",2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"데이터직무별(1)",전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축·가공 서비스업,데이터 관련 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축·가공 서비스업,데이터 관련 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업
"평균",17.8,14.5,13.7,12.9,36.9,17.9,13.8,15.7,13.6,35.3,32.7,32.6,33.0,32.2,25.4,16.3,29.1,29.7,26.6,35.2,15.1,39.5
"데이터 아키텍트",-,-,-,-,-,-,-,-,-,-,40.1,40.1,38.3,47.7,4.4,6.1,2.9,7.1,9.4,17.3,6.2,0.0
"데이터 개발자",27.0,15.3,21.7,3.5,65.8,26.1,14.4,23.3,3.6,63.8,35.1,31.5,35.2,42.3,26.7,28.3,18.8,39.9,24.5,36.6,13.2,32.0
"데이터 엔지니어",9.3,3.1,31.5,10.9,25.7,10.2,3.6,31.2,12.3,27.5,28.4,28.5,31.7,21.0,6.4,12.0,2.5,6.6,15.1,38.6,7.6,14.5
"데이터 분석가",33.7,68.9,2.4,35.3,54.5,37.3,68.1,11.3,37.4,50.0,53.4,56.9,53.4,46.6,57.8,11.4,72.4,48.8,57.6,59.1,43.9,70.4
"데이터베이스 관리자",-,-,-,-,-,-,-,-,-,-,19.9,20.5,19.5,19.7,3.1,1.4,5.6,1.3,7.0,16.5,0.2,11.9
"데이터 과학자",13.2,32.6,9.3,16.2,2.8,11.0,23.8,10.9,14.4,2.2,15.8,38.1,13.1,5.2,53.7,8.9,61.3,39.0,57.5,71.9,43.4,64.5
"데이터 컨설턴트",6.1,5.0,2.7,5.5,38.2,7.1,5.9,3.6,6.3,37.3,28.2,22.5,30.5,44.7,7.3,3.4,0.0,46.1,3.4,8.9,1.1,3.0
"데이터 기획자",22.6,17.4,100.0,35.3,30.8,23.9,17.2,51.9,33.3,30.9,30.5,31.8,35.0,23.0,10.6,6.9,0.0,21.8,10.5,8.9,3.4,18.7
