,text
0,"




농정원, 스마트농업 AI 경진대회[농림수산식품교육문화정보원 제공. 재판매 및 DB 금지](서울=연합뉴스) 이영섭 기자 = 농림축산식품부와 농촌진흥청, 농림수산식품교육문화정보원(농정원)은 오는 28일까지 '2022 스마트농업 인공지능 경진대회' 참가자를 모집한다고 8일 밝혔다.    이 대회는 농업 분야에 대한 데이터·인공지능(AI) 기업과 학계의 관심을 높이고 농업 현장에서 AI를 활용해 해결할 수 있는 과제를 발굴하기 위해 개최된다.    예선 기간인 29일부터 내달 23일까지 생육 예측 해커톤(한정 시간 안에 결과 모델을 만들어내는 과제)과 재배 전략 기획안 평가를 거쳐 본선에 진출할 4개 팀을 선정한다.    이들 팀은 이후 약 2달 반 동안 대회 온실에서 AI 기술을 활용해 토마토를 재배하는 방식으로 본선을 치른다.    농업 분야 인공지능 기술에 관심 있는 19세 이상 내외국인은 누구나 3∼10인 규모의 팀을 구성해 참가할 수 있다. 대회 총상금은 1억원이다.    대회 관련 세부 내용은 공식 누리집(https://aifactory.space/page/epis)에서 확인할 수 있다.    younglee@yna.co.kr
"
1,"
스타트업 '지속가능발전소'와 협업ESG 리스크 모니터링 서비스 제공중견기업 관련 언론 기사 분석해 ESG 리스크 요인 분석[이데일리 함정선 기자] 코트라(KOTRA)는 소셜 핀테크 스타트업인 지속가능발전소와 함께 8월부터 국내 중견기업이 선제적으로 ESG(환경·사회·지배구조) 리스크에 대응할 수 있도록 ‘중견기업 ESG 리스크 모니터링 서비스’를 제공한다고 8일 밝혔다.최근 선진국을 중심으로 기업의 지속가능경영을 위한 환경·사회에 대한 책임을 강조하는 분위기가 두드러지고 있으며, 이에 따라 많은 글로벌 기업이 공급망 협력사에도 강도 높은 ESG 경영을 요구하는 추세다. 



코트라는 지속가능발전소와 함께 국내 약 1000여 개사의 중견기업과 관련된 언론기사를 인공지능(AI) 알고리즘으로 분석해 ESG 관련 잠재적인 리스크 모니터링을 시행하고 그 결과를 3500여 명의 중견기업 종사자와 유관기관이 구독하고 있는 ‘월드챔프 뉴스레터’를 통해 제공할 예정이다.해당 서비스는 뉴스 미디어에 보도된 기업의 ESG 사건 사고를 매일 수집해 인공지능을 통해 분석하고 기업의 ESG 리스크를 감지하는 지속가능발전소의 특허기술이다. 매일 90개의 언론사가 보도하는 1만5000여건의 뉴스기사를 자연어처리와 감성분석과 같은 AI 알고리즘으로 분석하고, 17개의 ESG 관련 이슈로 분류한 후 기사의 발행 패턴·사건의 진행 속도·빈도수 등을 종합적으로 평가해 위험 요소로 작용할 수 있는 잠재적 원인을 미리 파악하는 방식이다.실제로 지난 7월 한 달간 1000개 중견기업에 대한 언론기사를 분석한 결과, ESG 관련 기사가 가장 많이 보도된 분야는 소비재 서비스와 소비재 제조, 소재 순으로 조사됐으며 환경·사회·지배구조 중 사회 분야 리스크가 가장 많이 발생하는 양상을 보였다. 세부적으로는 예고 없이 찾아온 무더위로 인해 대두한현장 근무환경 이슈와 소비재와 관련된 서비스 책임 이슈 등이 최근 중견기업이 주목해야 할 ESG 잠재 위험요소라는 평가다.이와 함께 코트라는 ‘중견기업 글로벌 지원사업’에 참가하고 있는 기업을 대상으로 ‘ESG 영문 평가 보고서 작성 서비스’도 지원할 예정이다. 기업의 ESG 관련 비재무적 성과를 분석하고 기업이 그 결과를 글로벌 파트너사와의 협력 또는 신규 파트너 발굴에 활용할 수 있도록 영문 보고서로 제공하는 내용이다. 참여기업은 ESG 전문가를 통해 분석 결과로 도출된 ESG 관련 기회 요인과 개선의견 등에 대한 피드백을 받을 수 있다. 코트라에 따르면 대부분의 국내 중소·중견기업은 ESG 경영에 대한 필요성을 느끼고 있으나, 정작 수출에 필요한 ESG 준비는 다소 아쉬운 실정인 것으로 나타났다. 대한상공회의소(회장 최태원)가 국내 수출기업 300개사를 대상으로 조사·분석한 ‘수출기업의 공급망 실사 대응 현황과 과제’ 보고서에 따르면, 응답 기업의 52.2%가 ‘아직 ESG 관리 수준이 미흡해 원청기업과의 계약이나 수주가 파기될까 우려가 있다’고 답했다. 코트라가 연초에 사업참가 강소·중견기업을 대상으로 시행한 자체 설문조사에서도 43.2%의 기업이 ‘2022년 수출 중견기업에 가장 필요한 맞춤형 지원서비스’로 ‘ESG 경영지원’을 손꼽았다.김윤태 코트라 중소중견기업본부장은 “ESG 관리는 우리 해외 진출 기업의 새로운 공급망 이슈로 떠오르고 있고 수출형 중견기업에는 필수조건이 될 것”이라며 “코트라는 우리 중견기업의 ESG 관리 역량 제고와 글로벌 기업으로 성장하기 위한 다양한 경영지원 서비스를 지원할 예정”이라고 말했다. 코트라는 오는 10월 ‘중견기업 플러스(+) 포럼’을 통해 글로벌 기업의 ESG 관계자를 초대하는 행사를 진행하고 있다.
"
2,"
기사내용 요약병원 업무 자동화에 클로바 AI콜 솔루션 도입AI 관련 연구과제 발굴 및 진행 공동 참여



네이버는 지난 5일 충북대학교병원에서 업무협약식을 개최하고 최영석 충북대학교병원장, 한정호 기획조정실장, 전현정 의료정보센터장, 나군호 네이버 헬스케어연구소장, 김필수 리더 등이 참석해 상호 협력을 약속했다고 8일 밝혔다. 사진은 왼쪽부터 충북대학교병원 김기석 의료정보과 팀장, 전현정 의료정보 센터장, 한정호 기획조정실장, 최영석 병원장, 네이버 나군호 헬스케어연구소장, 김필수 리더, 옥상훈 부장, 강하연 선임이 업무협약 체결 후 기념촬영을 하는 모습. (사진=네이버 제공) 2022.08.08 *재판매 및 DB 금지[서울=뉴시스]최은수 기자 = 네이버와 네이버클라우드, 충북대학교병원이 인공지능(AI)을 활용한 스마트 병원 구축을 위해 협력한다.네이버는 지난 5일 충북대학교병원에서 업무협약식을 개최하고 최영석 충북대학교병원장, 한정호 기획조정실장, 전현정 의료정보센터장, 나군호 네이버 헬스케어연구소장, 김필수 리더 등이 참석해 상호 협력을 약속했다고 8일 밝혔다.이번 업무협약을 통해 3사는 ▲병원 업무 자동화 및 효율화를 위한 클로바 AI콜 솔루션 도입, ▲의료진간 협업 및 정보 공유를 위한 네이버웍스 그룹웨어 도입, ▲웨일북 스마트 태블릿을 활용한 스마트 병동 시범 사업 추진 등 스마트 병원 구축을 위한 AI 사업에 포괄적으로 협력할 예정이다. AI 관련 연구 과제의 발굴 및 진행에도 공동 참여한다.나군호 네이버 헬스케어연구소장은 “네이버의 우수한 AI 기술과 클라우드를 포함한 다양한 네이버 솔루션 도입을 통해, 의료진의 업무 효율을 높이는 데 기여하고, 병원을 방문하는 환자에게는 양질의 의료 서비스를 제공할 수 있을 것으로 기대한다""고 말했다.최영석 충북대학교병원장은 ""중증질환을 책임지는 권역공공의료기관으로서 환자 입장에서는 편리하고 친근하게 병원을 이용하고, 의료진은 환자의 질환을 미리 파악하여 맞춤형 진료를 제공함으로써 업무를 효율적으로 처리하도록 돕는 것이 이번 협약의 본질""이라고 밝혔다.
"
3,"




이미희 KT C레벨컨설팅본부장(왼쪽)과 전준수 NIPA 글로벌성장본부장이 업무협약을 체결하고 있다.KT가 정보통신산업진흥원(NIPA)과 디지털전환(DX) 관련 사업 추진 및 인공지능(AI)·DX 분야 인재 양성을 주요 내용으로 하는 업무협약을 체결했다.KT와 NIPA는 이번 협약을 통해 △정보통신기술(ICT) 신사업 분야 중견·중소·벤처기업 육성 △교육 및 자격 분야 AI·DX 인재 양성을 함께 추진한다.KT는 중견·중소·벤처기업에 AI와 빅데이터, 클라우드 등 ICT 역량을 지원할 예정이다. 또 KT 클라우드 인큐베이션 프로그램을 통한 공동 상품 출시, KT 클라우드 마켓 플레이스 등재, KT 마케팅 채널 홍보 등을 지원한다.양측은 AI·DX 인재 양성을 위해 개발 전문가 초청 특강, 교육장 무료 대관, 교육 프로그램 홍보 등 교육 혁신 활동도 진행한다.NIPA는 제조, 유통, 금융 등 주요 산업과 연계한 DX 사업을 적극 추진하고 있다. DX 전문 기업을 육성하는 '산업연계형 디지털 전문 기업 육성', 비대면 산업의 일상화를 촉진하기 위한 '생활밀착분야 비대면 선도 서비스 활성화' 등이 대표 사업이다.이미희 KT C레벨컨설팅본부장은 “KT는 중소기업과 중견기업의 혁신을 지원하고, AI와 DX 인재 양성을 주도하는 다양한 사업을 진행하겠다”고 말했다.
"
4,"




대구 영진전문대 AI융합기계계열 이우영·안진영·신형식·김찬혁·임재형·김승엽 학생이 '클라우드 플랫폼을 이용한 식물재배용 데이터 공유 스마트팜에 대한 연구' 논문으로 제어로봇시스템 학회 학술대회 학부생 논문경진대회에서 우수논문상을 받았다. (영진전문대 제공) ⓒ 뉴스1(대구=뉴스1) 공정식 기자 = 대구 영진전문대는 8일 AI융합기계계열 학생들이 제어로봇시스템 학회 학술대회 학부생 논문경진대회에서 전문대생으로는 유일하게 우수논문상을 받았다고 밝혔다.영진전문대 AI융합기계계열 2학년 이우영 학생 등 6명은 최근 제어·로봇·시스템학회가 주최한 ICROS 2022 학술대회에서 '클라우드 플랫폼을 이용한 식물재배용 데이터 공유 스마트팜에 대한 연구' 논문으로 우수논문상을 수상했다.전국 대학을 비롯해 연구소와 산업체가 참여하는 ICROS 2022에는 총 370여편의 논문이 발표됐으며, 전문대 중 영진전문대 AI융합기계계열 학생들이 유일하게 참가했다.이들은 논문에서 개별 사용에 국한된 국내 스마트팜 시스템의 데이터를 공유할 수 있도록 앱·서버·데이터베이스를 구축해 스마트팜 운영자들이 서버에 축적된 정보를 공동 활용하는 지능형 제어 시스템 구현을 제안했다.임재형 학생은 ""식물의 생육 상태 데이터를 자동으로 측정, 수집한 후 데이터를 클라우드 서버에 저장하고 여기에 누적된 데이터 중 스마트팜 재배자가 자신의 생육환경에 맞는 데이터를 받아 활용함으로써 최적화된 식물 재배를 도모하고자 했다""고 말했다.
		"
5,"




KT, 가톨릭대 서울성모병원 CI. /각 업체        KT는 가톨릭대 서울성모병원과 1형 당뇨 환자를 위한 디지털 트윈 기술을 개발한다고 8일 밝혔다.디지털 트윈은 가상공간에 현실과 똑같은 쌍둥이를 만들어 발생할 수 있는 상황을 시뮬레이션해 결과를 예측하는 기술이다. KT와 서울성모병원은 각각 AI(인공지능) 역량과 의료 데이터를 결합한다는 계획이다.우선 KT는 서울성모병원이 연속혈당 측정기와 식이 앱(Food Tag), 활동량 계(Activity Tracker), 인슐린 펌프 등으로 수집한 당뇨 환자의 라이프로그를 활용해 AI 식이 관리 솔루션과 진화형 인공췌장 알고리즘을 개발한다.AI 식이 관리 솔루션은 AI 영상인식 기술로 음식의 종류와 영양성분, 칼로리 등을 자동 인식해 식단 관리를 돕는 기술이다. 진화형 인공췌장 알고리즘은 AI 알고리즘을 이용해 환자의 혈당에 맞게 주입될 인슐린의 양을 분석하는 기술이다. KT는 이 기술들로 디지털 트윈을 구현하면 당뇨 환자의 상태를 예측해 당뇨를 효과적으로 관리할 수 있을 것으로 기대했다.한자경 KT 융합기술원 컨버전스연구소 상무는 “산업 AI 역량을 바탕으로 의료 분야의 여러 업체와 협력할 계획이다”라며 “이를 통해 환자에게 실질적인 도움을 줄 수 있는 기술을 개발하고, 일상에서 헬스케어 서비스를 확대하도록 노력하겠다”라고 말했다.
"
6,"
'삼성 AI 챌린지'…신소재·컴퓨터 부문 국내 대학생에게 멘토링삼성전자가 인공지능(AI) 분야 우수 인력을 발굴해 반도체·디스플레이를 연구하기로 했다.삼성전자는 다음 달 16일까지 대학생 경진대회 ‘삼성 AI 챌린지’를 개최한다고 7일 밝혔다.공모 과제는 AI 기술을 활용한 신소재 연구와 컴퓨터 비전이다.



삼성전자 AI 챌린지 포스터(자료: 삼성전자)신소재 연구 주제는 ‘유기분자 구조로부터 재편성 에너지를 예측하는 알고리즘 개발’이다. 유기 디스플레이 소재 발광 효율에 영향을 주는 것으로 알려진 분자 구조 변화 에너지를 예측하는 AI 모델을 개발해야 한다. 삼성전자는 효율이 높고 수명이 긴 유기 디스플레이 발광 소재를 찾는데 드는 시간과 비용이 줄어들 것으로 기대했다.컴퓨터 비전 부문은 전자현미경(SEM) 이미지로 깊이를 예측하는 알고리즘을 개발해야 한다. 2차원 전자 현미경 영상에서 반도체 3차원 구조 깊이를 계측하고 반도체 공정에서 활용할 수 있는 AI 알고리즘을 찾아야 한다.응모 결과는 10월 7일 삼성전자 종합기술원 홈페이지에 발표한다. 11월 ‘삼성 AI포럼’에서 시상한다. 부문별 최우수상을 포함해 총 8개 수상팀에 상금과 함께 삼성전자 AI 연구원과 만날 기회를 준다. 종합기술원 연구소를 둘러보고 수상자가 교류하는 ‘삼성 AI 챌린지 캠프’에도 참가할 수 있다.최창규 삼성전자 종합기술원 AI연구센터장(부사장)은 “종합기술원은 반도체를 중심으로 소재, 카메라, 자율주행 등에 AI 기술을 적용하고 있다”며 “AI로 기술의 한계를 뛰어넘을 대학생이 많이 참여하기 바란다”고 말했다.
"
7,"
신소재 연구·컴퓨터 비전 2가지 진행



삼성전자는 국내 대학·대학원생을 대상으로 ‘2022 삼성 AI 챌린지’를 개최한다고 7일 밝혔다. 인공지능(AI) 분야 우수 인력 발굴과 반도체, 디스플레이 분야 연구를 위해서다. 이번 공모전은 AI 기술을 활용한 신소재 연구와 컴퓨터 비전 2가지로 진행된다.신소재 연구 부문은 ‘유기분자 구조로부터 재편성 에너지(Reorganization Energy)를 예측하는 알고리즘 개발’이다.컴퓨터 비전 부문은 ‘전자현미경(SEM) 이미지로부터 깊이를 예측하는 알고리즘 개발’을 주제로 한다. 응모 기간은 다음 달 16일까지다.시상식은 11월 ‘삼성 AI포럼’에서 진행된다. 공모 부문별 최우수상을 포함해 총 8개 수상팀에는 상금과 함께 삼성전자 AI 연구 리더들과의 네트워킹과 멘토링 세션이 별도로 제공된다.
		"
8,"
대학생·대학원생 대상 공모전, 반도체·디스플레이 인력 발굴



삼성전자 AI 챌린지 포스터. /삼성전자 제공										삼성전자가 국내 대학·대학원생을 대상으로 ‘2022 삼성 AI 챌린지’를 개최한다고 7일 밝혔다. 삼성 AI 챌린지는 인공지능(AI) 분야 우수 인력 발굴과 반도체·디스플레이 분야 연구를 위해 개최하는 공모전으로 지난해 처음 열렸다.이번 대회 종목은 AI 기술을 활용한 신소재 연구와 컴퓨터 비전 두 가지다. 신소재 연구 부문의 주제는 ‘유기분자 구조로부터 재편성 에너지를 예측하는 알고리즘 개발’이고, 컴퓨터 비전 부문은 ‘전자현미경 이미지로부터 깊이를 예측하는 알고리즘 개발’이다.삼성전자는 주제별로 최우수상·우수상 각 1팀, 장려상 2팀 등 총 8팀을 선발할 계획이다. 상금은 최우수상 1000만원, 우수상 500만원, 장려상 300만원이다. 또한 수상팀은 삼성전자 AI 연구 리더들로부터 멘토링을 받게 된다. 응모 기간은 8일부터 다음 달 16일까지이며, 응모 결과는 10월 7일 공개될 예정이다.
"
9,"
지난해 공개한 아스트로 역량 향상 기대…신사업 확장 청신호아마존이 인공지능(AI) 로봇청소기 ‘룸바'로 유명한 아이로봇을 인수했다. 아마존이 추진한 인수 중 4번째로 큰 규모로 이뤄졌다. 앞서 로봇청소기를 선보인 아마존이기에 신사업 화장에도 속도가 늘어날 전망이다.



아마존 가정용 로봇 '아스트로' [사진=아마존]6일(현지시간) 테크크런치 등 미국 주요IT매체들에 따르면 아마존은 아이로봇을 17억달러(약 2조2천억원)에 인수한다.아이로봇은 지난 2002년 로봇청소기 ‘룸바’를 출시한 기업이다. 지난 1990년 미국 MIT 인공지능연구소 회원인 콜린 앵글, 루드니 브룩스, 헬렌 그레이너를 통해 설립됐다. 신종 코로나 바이러스 감염증(코로나19) 여파로 인해 급격한 매출 성장을 보였으나, 코로나19가 완화되자 다시 어려움을 겪은 바 있다.브룩과 그레이너가 떠난 후에도 콜린 앵글은 CEO로 남았으며, 이번 아마존 인수 후에도 남게 된다. 그는 아마존이 자신들의 연구개발 방향에 큰 힘을 줄 수 있을 것으로 기대하고 있다.아마존 입장에서도 기대가 크다. 아마존은 물류 분야에서 인공지능과 로봇을 활용하고 있기는 하나 엔드투엔드 서비스에 대해서는 계기가 필요하다. 지난해 룸바와 비슷한 AI 로봇청소기 아스트로를 공개하기는 했으나 아직 시작에 불과하다.앞서 아마존은 아이로봇과 함께 자체 AI 플랫폼인 알렉사와 AWS 서버 등을 통해 룸바를 발전시켜 왔다. 이번 인수 역시도 이같은 협력에서 발현된 것으로 알려졌다. 아마존은 미래 가정 역시도 거대한 로봇 플랫폼이 될 것이며, 그에 따라 홈 AI 로봇 비전을 꿈꾸고 있다.
"
