,우편번호
0,06114
1,01779
2,03140
3,01055
4,06028
5,04533
6,03381
7,02149
8,06274
9,01767
10,03184
11,02845
12,06123
13,04051
14,01062
15,03176
16,05556
17,07803
18,08021
19,03397
20,05838
21,03766
22,08209
23,06615
24,01783
25,03995
26,05378
27,03360
28,06054
29,05116
30,02150
31,08288
32,03062
33,04778
34,08754
35,08292
36,06769
37,04750
38,06019
39,05378
40,06129
41,04997
42,03306
43,06111
44,04377
45,07567
46,03760
47,05072
48,06046
49,02841
50,04549
51,03383
52,04563
53,03176
54,06164
55,04519
56,03079
57,04564
58,03738
59,06022
60,07345
61,03139
62,03084
63,03195
64,06040
65,03765
66,07304
67,03726
68,03138
69,04628
70,02637
71,06038
72,04572
73,06567
74,03995
75,03779
76,01695
77,04042
78,04605
79,03129
80,06038
81,05554
82,08547
83,04550
84,03932
85,04516
86,07505
87,04536
88,04536
89,03073
90,04036
91,03721
92,07306
93,03084
94,07575
95,07715
96,05837
97,03191
98,04051
99,01334
100,03192
101,08787
102,04372
103,04997
104,05314
105,03766
106,06040
107,04799
108,01625
109,08786
110,06022
111,06164
112,05065
113,04136
114,07013
115,07074
116,06226
117,06141
118,07326
119,04557
120,04625
121,01220
122,06054
123,04536
124,05500
125,01751
126,07305
127,06114
128,02120
129,04058
130,03780
131,06630
132,08545
133,05399
134,02002
135,08514
136,06038
137,07071
138,04518
139,06039
140,06021
141,08584
142,04509
143,02827
144,03925
145,02555
146,06038
147,08351
148,07997
149,06014
150,07303
151,03077
152,03780
153,03190
154,03350
155,08777
156,05264
157,07998
158,06902
159,01427
160,06546
161,05551
162,07965
