서비스_업종_코드_명,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액
노래방,4935383,9987167,15331698,22565698,23415129,17164714
당구장,1217659,2809406,967235,7829326,9421224,3625607
분식전문점,1949680,39943036,49110455,138408859,113803891,113272019
여관,3402421,20381472,44752193,91472024,104677567,40951921
운동/경기용품,0,1204215,1998996,12771226,37799865,27488640
육류판매,0,14212047,31015210,43864363,69638086,57854570
일반교습학원,0,0,2595224,32484078,0,0
자동차수리,0,26973407,131590768,116544734,183388898,108888595
커피-음료,0,403977,803998,956935,10672320,6502234
편의점,15212136,127000227,203364162,260689469,266303665,113178091
한식음식점,3987711,95746748,231712148,517378293,755578755,720586885
호프-간이주점,141728,2666258,4902516,12747041,19674327,10652912
