,index,cnt
0,기술,2394
1,데이터,1680
2,서비스,1533
3,분야,1324
4,제공,1276
5,기업,1200
6,기반,1104
7,사업,1072
8,솔루션,961
9,의료,931
10,금융,898
11,시스템,860
12,연구,827
13,교육,812
14,분석,714
15,학습,712
16,산업,690
17,지원,683
18,정보,660
19,모델,654
20,적용,648
21,계획,635
22,영상,616
23,구축,609
24,고객,606
25,대표,603
26,카카오,598
27,업무,568
28,플랫폼,553
29,관련,551
30,디지털,548
31,관리,545
32,국내,539
33,협력,482
34,서울,472
35,대한,453
36,한국,451
37,반도체,446
38,협약,442
39,인간,442
40,브레인,441
41,사진,439
42,확대,438
43,투자,431
44,혁신,415
45,운영,413
46,전자,412
47,설명,390
48,도입,388
49,세계,388
50,추진,377
51,교수,376
52,시장,375
53,공동,372
54,전문,366
55,러닝,366
56,최근,363
57,미국,360
58,보안,358
59,회사,356
60,참여,350
61,처리,347
62,과정,344
63,콘텐츠,343
64,사용,341
65,현장,340
66,업체,340
67,스마트,336
68,미래,333
69,기능,331
70,진단,323
71,확보,321
72,기관,317
73,글로벌,316
74,병원,316
75,지속,313
76,이상,311
77,센터,310
78,로봇,304
79,빅데이터,300
80,클라우드,295
81,네이버,294
82,사람,294
83,공정,293
84,기존,293
85,수준,292
86,자동,292
87,제품,289
88,핵심,287
89,예측,285
90,음성,281
91,체결,276
92,거대,275
93,부문,274
94,시간,273
95,구성,272
96,인재,272
97,그룹,268
98,역량,266
99,결과,265
100,지역,265
101,환경,263
102,제조,262
103,올해,262
104,자동차,260
105,위원회,259
106,사회,257
107,컴퓨터,256
108,문제,255
109,환자,253
110,규모,252
111,텔레콤,251
112,전문가,250
113,제작,249
114,알고리즘,246
115,버스,246
116,메타,243
117,프로그램,241
118,대상,239
119,품질,239
120,경우,238
121,융합,232
122,정부,232
123,효율,230
124,영역,230
125,사용자,225
126,소프트웨어,224
127,구글,224
128,언어,223
129,프로젝트,221
130,확장,216
131,대화,215
132,메모리,215
133,음성인식,211
134,고도화,210
135,정책,208
136,전환,206
137,삼성,205
138,개선,204
139,경험,203
140,국가,203
141,대회,202
142,채용,202
143,차량,200
144,개인,200
145,스튜디오,200
146,맞춤,199
147,구조,199
148,마련,197
149,인력,194
150,상담,194
151,연구원,193
152,선정,192
153,구현,192
154,증권,192
155,작품,191
156,추가,190
157,주요,189
158,협업,188
159,학생,188
160,촬영,187
161,대학,187
162,인식,186
163,효과,186
164,전략,185
165,역할,185
166,시아,185
167,포함,184
168,발전,184
169,상황,183
170,적극,182
171,학회,182
172,이해,182
173,중국,182
174,용접,182
175,머신,181
176,경제,181
177,양성,180
178,활성화,180
179,향상,179
180,스타트업,178
181,모바일,178
182,과제,177
183,생산,177
184,편의,175
185,위험,173
186,체계,173
187,향후,172
188,작업,172
189,목표,170
190,생각,169
191,예술,169
192,발굴,168
193,속도,167
194,바탕,167
195,업계,167
196,신약,167
197,테크,166
198,중심,166
199,안전,166
200,관계자,164
201,바이오,164
202,설계,164
203,테스트,163
204,대해,162
205,설립,161
206,시대,161
207,규제,161
208,경쟁력,159
209,국제,159
210,전망,158
211,이유,157
212,성장,156
213,예방,156
214,사운드,155
215,금지,154
216,수집,154
217,능력,154
218,사례,152
219,웰딩,152
220,논문,151
221,가능성,151
222,성능,151
223,원장,151
224,도움,150
225,공급,150
226,검증,150
227,해당,149
228,학교,149
229,입력,149
230,계약,148
231,거래,148
232,노력,147
233,주제,147
234,선도,145
235,다른,145
236,개최,144
237,게임,144
238,휴먼,144
239,강조,142
240,성과,142
241,온라인,142
242,질환,141
243,유치,140
244,보건,140
245,보유,140
246,대응,139
247,우리,139
248,건강,139
249,해결,138
250,활동,138
251,기준,138
252,보이스,137
253,공개,136
254,자체,135
255,코딩,134
256,심사,133
257,뇌출혈,133
258,인프라,132
259,화신,132
260,여러,131
261,접목,131
262,탐지,131
263,연구소,129
264,최고,129
265,방안,128
266,증가,128
267,강화,128
268,중이,128
269,하운드,128
270,과학기술,127
271,상용,127
272,양사,127
273,기기,126
274,기록,126
275,스코프,126
276,해외,125
277,제시,125
278,판독,125
279,완성,125
280,갤럭시,125
281,기여,124
282,확산,124
283,제약,124
284,시집,124
285,아트,123
286,가톨릭,123
287,인지,123
288,이후,122
289,변화,122
290,한편,122
291,통합,122
292,정도,122
293,비롯,121
294,최대,121
295,담당,121
296,포스코,121
297,인포테인먼트,121
298,플러스,120
299,집중,120
300,자동화,119
301,방침,119
302,부품,119
303,행동,118
304,소비자,118
305,재판매,117
306,모집,117
307,작성,117
308,결합,117
309,카메라,117
310,자율,117
311,가상,117
312,라이브러리,117
313,수술,117
314,비대,116
315,로부터,115
316,기대,115
317,주장,114
318,신뢰,114
319,창작,113
320,자산,113
321,선택,113
322,람다,113
323,면접,112
324,특성,111
325,본부장,110
326,공유,110
327,설치,110
328,치료,110
329,존재,110
330,정확도,110
331,과학,109
332,연구개발,108
333,위치,108
334,안내,107
335,차별,107
336,검사,107
337,기후변화,107
338,왼쪽,106
339,개발자,106
340,보호,106
341,부위,106
342,판별,106
343,가운데,105
344,비즈니스,105
345,제안,104
346,발주,104
347,미래에셋,104
348,동시,103
349,국민,103
350,진흥,102
351,자신,102
352,전화,102
353,최신,102
354,채널,101
355,슬릿,101
356,중앙,101
357,신규,100
358,수행,100
359,통신,100
360,인더스트리얼,100
361,문화,99
362,전국,99
363,수요,99
364,지금,98
365,연결,98
366,보고서,97
367,처음,97
368,보고,97
369,기본,97
370,형태,97
371,아티스트,97
372,외부,97
373,감정,97
374,학계,96
375,관심,96
376,요약,96
377,생태계,96
378,케어,96
379,표준화,96
380,에듀,95
381,성공,95
382,의회,95
383,가치,95
384,진출,94
385,자료,94
386,판단,94
387,표준,94
388,간담,94
389,무료,93
390,첨단,93
391,투입,93
392,브랜드,93
393,에너지,92
394,영향,92
395,비용,92
396,시설,92
397,자살,92
398,창업,92
399,기회,91
400,협회,91
401,세상,91
402,오픈,91
403,불량,91
404,방법,90
405,제도,90
406,위기,90
407,앵커,90
408,부분,90
409,자연어,89
410,필수,89
411,차원,89
412,주행,89
413,기초,89
414,관제,89
415,금융위,89
416,가이드,89
417,매출,88
418,가속,88
419,기획,87
420,모습,87
421,만큼,87
422,대학원,87
423,자문,87
424,컨소시엄,87
425,텍스트,87
426,목적,87
427,케이,87
428,치매,87
429,허가,87
430,영재,87
431,사전,86
432,중인,86
433,의료기기,86
434,이제,86
435,표현,86
436,목소리,86
437,육성,85
438,방향,85
439,대비,85
440,경쟁,85
441,개인정보,85
442,모니터링,84
443,기계,84
444,다수,84
445,챗봇,84
446,물질,84
447,에이,84
448,하나은행,84
449,조사,83
450,측은,83
