,상권_구분_코드_명,서비스_업종_코드_명,비율 방식,남성 > 여성 비율
154,관광특구,호프-간이주점,남성 > 여성 비율,0.0
224,전통시장,자전거 및 기타운송장비,남성 > 여성 비율,0.0
55,발달상권,편의점,남성 > 여성 비율,0.0
236,전통시장,PC방,남성 > 여성 비율,0.0
153,관광특구,자동차수리,남성 > 여성 비율,0.0
182,관광특구,스포츠클럽,남성 > 여성 비율,0.0
181,관광특구,편의점,남성 > 여성 비율,0.0
176,관광특구,골프연습장,남성 > 여성 비율,0.0
175,관광특구,치킨전문점,남성 > 여성 비율,0.0
131,관광특구,자동차미용,남성 > 여성 비율,0.0
35,발달상권,자전거 및 기타운송장비,남성 > 여성 비율,0.0
241,전통시장,부동산중개업,남성 > 여성 비율,0.0
167,관광특구,의료기기,남성 > 여성 비율,0.0
139,관광특구,당구장,남성 > 여성 비율,0.0
164,관광특구,철물점,남성 > 여성 비율,0.0
160,관광특구,가전제품,남성 > 여성 비율,0.0
151,관광특구,조명용품,남성 > 여성 비율,0.0
132,관광특구,노래방,남성 > 여성 비율,0.0
37,발달상권,한식음식점,남성 > 여성 비율,0.004048582995951417
118,골목상권,편의점,남성 > 여성 비율,0.006024096385542169
47,발달상권,PC방,남성 > 여성 비율,0.008333333333333333
110,골목상권,PC방,남성 > 여성 비율,0.009433962264150943
6,발달상권,노래방,남성 > 여성 비율,0.010471204188481676
244,전통시장,편의점,남성 > 여성 비율,0.01680672268907563
76,골목상권,당구장,남성 > 여성 비율,0.021739130434782608
49,발달상권,치킨전문점,남성 > 여성 비율,0.02617801047120419
195,전통시장,노래방,남성 > 여성 비율,0.02631578947368421
202,전통시장,당구장,남성 > 여성 비율,0.02631578947368421
46,발달상권,여관,남성 > 여성 비율,0.03076923076923077
100,골목상권,한식음식점,남성 > 여성 비율,0.034170854271356785
27,발달상권,자동차수리,남성 > 여성 비율,0.03496503496503497
78,골목상권,중식음식점,남성 > 여성 비율,0.03508771929824561
50,발달상권,골프연습장,남성 > 여성 비율,0.0392156862745098
239,전통시장,골프연습장,남성 > 여성 비율,0.04
69,골목상권,노래방,남성 > 여성 비율,0.04807692307692308
28,발달상권,호프-간이주점,남성 > 여성 비율,0.049107142857142856
13,발달상권,당구장,남성 > 여성 비율,0.054187192118226604
15,발달상권,중식음식점,남성 > 여성 비율,0.05504587155963303
217,전통시장,호프-간이주점,남성 > 여성 비율,0.060109289617486336
90,골목상권,자동차수리,남성 > 여성 비율,0.060550458715596334
112,골목상권,치킨전문점,남성 > 여성 비율,0.06066176470588235
109,골목상권,여관,남성 > 여성 비율,0.06132075471698113
91,골목상권,호프-간이주점,남성 > 여성 비율,0.06286549707602339
226,전통시장,한식음식점,남성 > 여성 비율,0.06545454545454546
58,발달상권,일식음식점,남성 > 여성 비율,0.07317073170731707
215,전통시장,가전제품수리,남성 > 여성 비율,0.07692307692307693
68,골목상권,자동차미용,남성 > 여성 비율,0.07746478873239436
235,전통시장,여관,남성 > 여성 비율,0.08333333333333333
115,골목상권,부동산중개업,남성 > 여성 비율,0.1
204,전통시장,중식음식점,남성 > 여성 비율,0.10185185185185185
113,골목상권,골프연습장,남성 > 여성 비율,0.10344827586206896
216,전통시장,자동차수리,남성 > 여성 비율,0.10810810810810811
238,전통시장,치킨전문점,남성 > 여성 비율,0.12213740458015267
25,발달상권,조명용품,남성 > 여성 비율,0.13432835820895522
38,발달상권,철물점,남성 > 여성 비율,0.1346153846153846
121,골목상권,일식음식점,남성 > 여성 비율,0.13565891472868216
24,발달상권,완구,남성 > 여성 비율,0.14814814814814814
98,골목상권,자전거 및 기타운송장비,남성 > 여성 비율,0.15625
133,관광특구,패스트푸드점,남성 > 여성 비율,0.16666666666666666
163,관광특구,한식음식점,남성 > 여성 비율,0.16666666666666666
135,관광특구,치과의원,남성 > 여성 비율,0.16666666666666666
87,골목상권,완구,남성 > 여성 비율,0.16666666666666666
5,발달상권,자동차미용,남성 > 여성 비율,0.16981132075471697
70,골목상권,패스트푸드점,남성 > 여성 비율,0.18253968253968253
95,골목상권,운동/경기용품,남성 > 여성 비율,0.18548387096774194
247,전통시장,일식음식점,남성 > 여성 비율,0.1875
207,전통시장,컴퓨터및주변장치판매,남성 > 여성 비율,0.1875
88,골목상권,조명용품,남성 > 여성 비율,0.1881720430107527
194,전통시장,자동차미용,남성 > 여성 비율,0.2
196,전통시장,패스트푸드점,남성 > 여성 비율,0.2
172,관광특구,여관,남성 > 여성 비율,0.2
101,골목상권,철물점,남성 > 여성 비율,0.20930232558139536
227,전통시장,철물점,남성 > 여성 비율,0.22727272727272727
32,발달상권,운동/경기용품,남성 > 여성 비율,0.2358490566037736
144,관광특구,컴퓨터및주변장치판매,남성 > 여성 비율,0.25
7,발달상권,패스트푸드점,남성 > 여성 비율,0.25120772946859904
26,발달상권,가전제품수리,남성 > 여성 비율,0.25925925925925924
214,전통시장,조명용품,남성 > 여성 비율,0.2647058823529412
19,발달상권,고시원,남성 > 여성 비율,0.2708333333333333
18,발달상권,컴퓨터및주변장치판매,남성 > 여성 비율,0.2727272727272727
82,골목상권,고시원,남성 > 여성 비율,0.2727272727272727
111,골목상권,슈퍼마켓,남성 > 여성 비율,0.2750352609308886
221,전통시장,운동/경기용품,남성 > 여성 비율,0.3181818181818182
41,발달상권,의료기기,남성 > 여성 비율,0.31932773109243695
99,골목상권,분식전문점,남성 > 여성 비율,0.32190760059612517
81,골목상권,컴퓨터및주변장치판매,남성 > 여성 비율,0.32323232323232326
174,관광특구,슈퍼마켓,남성 > 여성 비율,0.3333333333333333
168,관광특구,의약품,남성 > 여성 비율,0.3333333333333333
173,관광특구,PC방,남성 > 여성 비율,0.3333333333333333
184,관광특구,일식음식점,남성 > 여성 비율,0.3333333333333333
141,관광특구,중식음식점,남성 > 여성 비율,0.3333333333333333
158,관광특구,운동/경기용품,남성 > 여성 비율,0.3333333333333333
137,관광특구,양식음식점,남성 > 여성 비율,0.3333333333333333
166,관광특구,안경,남성 > 여성 비율,0.3333333333333333
157,관광특구,인테리어,남성 > 여성 비율,0.3333333333333333
94,골목상권,인테리어,남성 > 여성 비율,0.3514644351464435
89,골목상권,가전제품수리,남성 > 여성 비율,0.35294117647058826
36,발달상권,분식전문점,남성 > 여성 비율,0.3644067796610169
31,발달상권,인테리어,남성 > 여성 비율,0.37333333333333335
245,전통시장,스포츠클럽,남성 > 여성 비율,0.375
104,골목상권,의료기기,남성 > 여성 비율,0.38372093023255816
223,전통시장,가전제품,남성 > 여성 비율,0.391304347826087
180,관광특구,신발,남성 > 여성 비율,0.4
208,전통시장,고시원,남성 > 여성 비율,0.4
165,관광특구,한의원,남성 > 여성 비율,0.4
