"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명"
"3220000","CDFF4220001983000001","19830604","","04","취소/말소/만료/정지/중지","33","지정취소","","","","","","","135931","서울특별시 강남구 역삼동 814-6번지 ","서울특별시 강남구 강남대로 438 (역삼동)","","동아극장 1관","20150513132011","I","2018-08-31 23:59:59.0","","202262.457856142    ","444382.542260289    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","영화관","","19830604",""
"3220000","CDFF4220001994000001","19940905","","01","영업/정상","13","영업중","","","","","540-1637","","","서울특별시 강남구 역삼동 816번지 ","서울특별시 강남구 강남대로 422 (역삼동)","06129","메가박스 씨티(강남대로)1관","20160616142125","I","2018-08-31 23:59:59.0","","202310.311355859    ","444240.798282863    ","영화상영관","영화상영관","","","","","10","4","","","","","","","","","","","","","","","","","","","","영화관","","19940905",""
"3220000","CDFF4220001994000002","19940905","","01","영업/정상","13","영업중","","","","","540-1637","","","서울특별시 강남구 역삼동 816번지 ","서울특별시 강남구 강남대로 422 (역삼동)","06129","메가박스 씨티(강남대로)2관","20160616142644","I","2018-08-31 23:59:59.0","","202310.311355859    ","444240.798282863    ","영화상영관","영화상영관","","","","","10","4","","","","","","","","","","","","","","","","","","","","영화관","","19940905",""
"3220000","CDFF4220001994000003","19941107","","03","폐업","03","폐업","20040227","","","","","","135928","서울특별시 강남구 역삼동 772-0번지 ","서울특별시 강남구 언주로 337  (역삼동)","","동영아트홀","20040227131749","I","2018-08-31 23:59:59.0","","203829.432878247    ","443954.517765895    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19941107",""
"3220000","CDFF4220001994000004","19941223","","04","취소/말소/만료/정지/중지","33","지정취소","","","","","","","135931","서울특별시 강남구 역삼동 814-6번지 ","서울특별시 강남구 강남대로 438 (역삼동)","","동아극장 3관","20150513132219","I","2018-08-31 23:59:59.0","","202262.457856142    ","444382.542260289    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","영화관","","19941223",""
"3220000","CDFF4220001995000001","19950215","","01","영업/정상","13","영업중","","","","","","","135811","서울특별시 강남구 논현동 4-15번지 ","서울특별시 강남구 도산대로 128  (논현동)","","씨네마강남 대관","20030208135458","I","2018-08-31 23:59:59.0","","201924.485183724    ","446086.692910222    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19950215",""
"3220000","CDFF4220001995000002","19950428","","01","영업/정상","13","영업중","","","","","","","135815","서울특별시 강남구 논현동 58-3번지 ","서울특별시 강남구 학동로 171  (논현동)","","(주)케이엠티브이","20030208135458","I","2018-08-31 23:59:59.0","","202510.175626955    ","445767.512366594    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","19950428",""
"3220000","CDFF4220001995000003","19950708","","03","폐업","03","폐업","20011123","","","","","","135811","서울특별시 강남구 논현동 3-5번지 ","서울특별시 강남구 도산대로8길 8  (논현동)","","브로드웨이","20030208135458","I","2018-08-31 23:59:59.0","","201869.777642622    ","446024.410215048    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","19950708",""
"3220000","CDFF4220001996000002","19960726","","03","폐업","03","폐업","20000829","","","","","","135954","서울특별시 강남구 청담동 86-0번지 ","서울특별시 강남구 선릉로 806  (청담동)","","케네마2관","20030208135458","I","2018-08-31 23:59:59.0","","203432.518476036    ","446848.284081545    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","19960726",""
"3220000","CDFF4220001996000003","19960726","","03","폐업","03","폐업","20000829","","","","","","135954","서울특별시 강남구 청담동 86-0번지 ","서울특별시 강남구 선릉로 806  (청담동)","","케네마1관","20030208135458","I","2018-08-31 23:59:59.0","","203432.518476036    ","446848.284081545    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","19960726",""
