,구별,시도,국가,카테고리,총전출입
0,강남구,서울특별시,대한민국,총전입,95557
1,강동구,서울특별시,대한민국,총전입,75101
2,강북구,서울특별시,대한민국,총전입,38046
3,강서구,서울특별시,대한민국,총전입,78518
4,관악구,서울특별시,대한민국,총전입,93583
5,광진구,서울특별시,대한민국,총전입,52191
6,구로구,서울특별시,대한민국,총전입,54791
7,금천구,서울특별시,대한민국,총전입,32416
8,노원구,서울특별시,대한민국,총전입,57183
9,도봉구,서울특별시,대한민국,총전입,35445
10,동대문구,서울특별시,대한민국,총전입,51660
11,동작구,서울특별시,대한민국,총전입,61168
12,마포구,서울특별시,대한민국,총전입,57766
13,서대문구,서울특별시,대한민국,총전입,45729
14,서초구,서울특별시,대한민국,총전입,63335
15,성동구,서울특별시,대한민국,총전입,39922
16,성북구,서울특별시,대한민국,총전입,67841
17,송파구,서울특별시,대한민국,총전입,123273
18,양천구,서울특별시,대한민국,총전입,50256
19,영등포구,서울특별시,대한민국,총전입,56874
20,용산구,서울특별시,대한민국,총전입,35099
21,은평구,서울특별시,대한민국,총전입,69399
22,종로구,서울특별시,대한민국,총전입,22271
23,중구,서울특별시,대한민국,총전입,19623
24,중랑구,서울특별시,대한민국,총전입,49446
25,강남구,서울특별시,대한민국,총전출,93716
26,강동구,서울특별시,대한민국,총전출,67292
27,강북구,서울특별시,대한민국,총전출,42622
28,강서구,서울특별시,대한민국,총전출,85057
29,관악구,서울특별시,대한민국,총전출,95788
30,광진구,서울특별시,대한민국,총전출,57088
31,구로구,서울특별시,대한민국,총전출,53666
32,금천구,서울특별시,대한민국,총전출,33728
33,노원구,서울특별시,대한민국,총전출,68095
34,도봉구,서울특별시,대한민국,총전출,41225
35,동대문구,서울특별시,대한민국,총전출,53660
36,동작구,서울특별시,대한민국,총전출,62047
37,마포구,서울특별시,대한민국,총전출,59573
38,서대문구,서울특별시,대한민국,총전출,46677
39,서초구,서울특별시,대한민국,총전출,67634
40,성동구,서울특별시,대한민국,총전출,48102
41,성북구,서울특별시,대한민국,총전출,61169
42,송파구,서울특별시,대한민국,총전출,116301
43,양천구,서울특별시,대한민국,총전출,56733
44,영등포구,서울특별시,대한민국,총전출,58253
45,용산구,서울특별시,대한민국,총전출,35673
46,은평구,서울특별시,대한민국,총전출,72721
47,종로구,서울특별시,대한민국,총전출,23945
48,중구,서울특별시,대한민국,총전출,19384
49,중랑구,서울특별시,대한민국,총전출,55932
