,구별,총전입,총전출,시도,국가
0,강남구,95557,93716,서울특별시,대한민국
1,강동구,75101,67292,서울특별시,대한민국
2,강북구,38046,42622,서울특별시,대한민국
3,강서구,78518,85057,서울특별시,대한민국
4,관악구,93583,95788,서울특별시,대한민국
5,광진구,52191,57088,서울특별시,대한민국
6,구로구,54791,53666,서울특별시,대한민국
7,금천구,32416,33728,서울특별시,대한민국
8,노원구,57183,68095,서울특별시,대한민국
9,도봉구,35445,41225,서울특별시,대한민국
10,동대문구,51660,53660,서울특별시,대한민국
11,동작구,61168,62047,서울특별시,대한민국
12,마포구,57766,59573,서울특별시,대한민국
13,서대문구,45729,46677,서울특별시,대한민국
14,서초구,63335,67634,서울특별시,대한민국
15,성동구,39922,48102,서울특별시,대한민국
16,성북구,67841,61169,서울특별시,대한민국
17,송파구,123273,116301,서울특별시,대한민국
18,양천구,50256,56733,서울특별시,대한민국
19,영등포구,56874,58253,서울특별시,대한민국
20,용산구,35099,35673,서울특별시,대한민국
21,은평구,69399,72721,서울특별시,대한민국
22,종로구,22271,23945,서울특별시,대한민국
23,중구,19623,19384,서울특별시,대한민국
24,중랑구,49446,55932,서울특별시,대한민국
