,구별,동별(3),총전입,총전출,시도,국가
1,종로구,사직동,1615,1631,서울,대한민국
2,종로구,삼청동,342,414,서울,대한민국
3,종로구,부암동,1239,1300,서울,대한민국
4,종로구,평창동,1938,2210,서울,대한민국
5,종로구,무악동,1445,982,서울,대한민국
6,종로구,교남동,1945,2143,서울,대한민국
7,종로구,가회동,581,617,서울,대한민국
8,종로구,종로1.2.3.4가동,1548,1689,서울,대한민국
9,종로구,종로5.6가동,1216,1067,서울,대한민국
10,종로구,이화동,1345,1562,서울,대한민국
11,종로구,창신1동,687,797,서울,대한민국
12,종로구,창신2동,694,902,서울,대한민국
13,종로구,창신3동,713,881,서울,대한민국
14,종로구,숭인1동,778,937,서울,대한민국
15,종로구,숭인2동,1826,1979,서울,대한민국
16,종로구,청운효자동,1457,1780,서울,대한민국
17,종로구,혜화동,2902,3054,서울,대한민국
19,중구,소공동,488,483,서울,대한민국
20,중구,회현동,692,781,서울,대한민국
21,중구,명동,519,437,서울,대한민국
22,중구,필동,744,760,서울,대한민국
23,중구,장충동,864,871,서울,대한민국
24,중구,광희동,856,873,서울,대한민국
25,중구,을지로동,450,355,서울,대한민국
26,중구,신당5동,2444,1296,서울,대한민국
27,중구,황학동,2578,2367,서울,대한민국
28,중구,중림동,2041,2113,서울,대한민국
29,중구,신당동,1373,1575,서울,대한민국
30,중구,다산동,1935,2025,서울,대한민국
31,중구,약수동,1979,2204,서울,대한민국
32,중구,청구동,1537,1887,서울,대한민국
33,중구,동화동,1123,1357,서울,대한민국
35,용산구,후암동,2213,2474,서울,대한민국
36,용산구,용산2가동,1194,1473,서울,대한민국
37,용산구,남영동,1584,1565,서울,대한민국
38,용산구,원효로2동,1658,2050,서울,대한민국
39,용산구,효창동,2774,1578,서울,대한민국
40,용산구,용문동,1744,1966,서울,대한민국
41,용산구,이촌1동,3074,3105,서울,대한민국
42,용산구,이촌2동,1037,1158,서울,대한민국
43,용산구,이태원1동,1078,1241,서울,대한민국
44,용산구,이태원2동,1276,1481,서울,대한민국
45,용산구,서빙고동,2371,2515,서울,대한민국
46,용산구,보광동,1696,2251,서울,대한민국
47,용산구,청파동,3078,3340,서울,대한민국
48,용산구,원효로1동,3382,2914,서울,대한민국
49,용산구,한강로동,3552,3272,서울,대한민국
50,용산구,한남동,3388,3290,서울,대한민국
52,성동구,왕십리2동,2188,2664,서울,대한민국
53,성동구,마장동,3130,3263,서울,대한민국
54,성동구,사근동,2919,2854,서울,대한민국
55,성동구,행당1동,2073,2342,서울,대한민국
56,성동구,행당2동,2528,3045,서울,대한민국
57,성동구,응봉동,1766,2005,서울,대한민국
58,성동구,금호1가동,1436,1729,서울,대한민국
59,성동구,금호4가동,1845,2232,서울,대한민국
60,성동구,성수1가1동,2222,2697,서울,대한민국
61,성동구,성수1가2동,2019,3065,서울,대한민국
62,성동구,성수2가1동,2115,2611,서울,대한민국
63,성동구,성수2가3동,1916,2146,서울,대한민국
64,성동구,송정동,1359,1678,서울,대한민국
65,성동구,용답동,1653,3950,서울,대한민국
66,성동구,왕십리도선동,4426,4634,서울,대한민국
67,성동구,금호2.3가동,2777,3198,서울,대한민국
68,성동구,옥수동,3550,3989,서울,대한민국
70,광진구,화양동,6411,5806,서울,대한민국
71,광진구,군자동,3481,3579,서울,대한민국
72,광진구,중곡1동,2589,2833,서울,대한민국
73,광진구,중곡2동,3536,3703,서울,대한민국
74,광진구,중곡3동,2325,2864,서울,대한민국
75,광진구,중곡4동,3588,4323,서울,대한민국
76,광진구,능동,2164,2166,서울,대한민국
77,광진구,구의1동,3990,4232,서울,대한민국
78,광진구,구의2동,3355,3516,서울,대한민국
79,광진구,구의3동,4264,4713,서울,대한민국
80,광진구,광장동,4154,4436,서울,대한민국
81,광진구,자양1동,3588,3889,서울,대한민국
82,광진구,자양2동,3244,3889,서울,대한민국
83,광진구,자양3동,3305,4049,서울,대한민국
84,광진구,자양4동,2197,3090,서울,대한민국
86,동대문구,회기동,2070,2103,서울,대한민국
87,동대문구,휘경1동,4082,2478,서울,대한민국
88,동대문구,휘경2동,3731,3958,서울,대한민국
89,동대문구,청량리동,2109,2679,서울,대한민국
90,동대문구,용신동,5574,5410,서울,대한민국
91,동대문구,제기동,3533,3611,서울,대한민국
92,동대문구,전농1동,4200,4141,서울,대한민국
93,동대문구,전농2동,1690,2112,서울,대한민국
94,동대문구,답십리1동,4213,4108,서울,대한민국
95,동대문구,답십리2동,4787,3325,서울,대한민국
96,동대문구,장안1동,5091,5260,서울,대한민국
97,동대문구,장안2동,5256,4005,서울,대한민국
98,동대문구,이문1동,2952,7327,서울,대한민국
99,동대문구,이문2동,2372,3143,서울,대한민국
